BinBase name,F_PAC_16_016,F_PAC_17_017,F_PAC_18_018,normF_PAC_16_016,normF_PAC_17_017,normF_PAC_18_018
cerotinic acid,861,782,597,1.3296696430366714e-5,1.2247269872898554e-5,9.159504532481858e-6
cellobiose,19687,14369,20424,3.0403259305996456e-4,2.250396685469045e-4,3.133563158650075e-4
catechin,9239,9907,5634,1.4268081105709416e-4,1.551581875074245e-4,8.643994729648709e-5
caproic acid HMDB,17631,5545,4118,0.00027228113212984383,8.684285351051469e-5,6.318063595437235e-5
campesterol HMDB,957,1556,1098,1.4779254917376244e-5,2.4369247982391495e-5,1.684612391401186e-5
beta-sitosterol,5613,14363,7058,8.66833415373384e-5,2.249456997243503e-4,1.0828774370227296e-4
beta-mannosylglycerate,497,590,639,7.675328833788917e-6,9.240267551163871e-6,9.803891786023295e-6
beta-gentiobiose,2912,2906,2856,4.4970940772622386e-5,4.551223305708849e-5,4.381833324081773e-5
beta-alanine,1795,1751,1602,2.772075504356359e-5,2.7423234715403284e-5,2.4578770956509107e-5
benzoic acid,16634,13675,5028,2.5688414450954694e-4,2.1417060807146768e-4,7.71423597811035e-5
aspartic acid,36155,60721,41589,5.583531468523909e-4,9.509801457190192e-4,6.380814639889246e-4
asparagine,365549,441203,376049,0.0056452892954984,0.006909887736230768,0.0057695519596905704
arbutin,449,472,508,6.934049590284152e-6,7.392214040931096e-6,7.794017257120241e-6
arachidic acid,5241,8859,4814,8.093842740017648e-5,1.3874496650128937e-4,7.385905329877331e-5
arabitol,247305,229274,221009,0.0038192096523947043,0.00359076797038228,0.0033908424409033215
alpha-ketoglutarate,702,886,821,1.0841208936257181e-5,1.3876062797171508e-5,1.2596236551369524e-5
alanine,170527,265495,251143,0.002633502615773687,0.004158042090671613,0.003853174952765647
adipic acid,2098,2519,2524,3.2400080268187416e-5,3.945124400234202e-5,3.8724605427109234e-5
adenosine,6570,251,263,1.0146259645471465e-4,3.93102907685107e-6,4.035091611461857e-6
adenine,9475,11055,8352,1.4632543400432593e-4,1.7313755555612982e-4,1.2814100813281153e-4
aconitic acid,549,570,1532,8.478381347585745e-6,8.92703814264984e-6,2.3504792200606713e-5
6-deoxyhexitol NIST,761,533,690,1.1752364673065122e-5,8.347563736898886e-6,1.058636202246647e-5
6-deoxyglucose,189566,157732,164487,0.0029275279390463373,0.002470315053186745,0.002523650623173105
6-deoxyglucitol,8561,7701,11886,1.3221024174258936e-4,1.2060898374832706e-4,1.8236159275222675e-4
5-methyluridine NIST,914,992,2124,1.4115192261736558e-5,1.5536178662295863e-5,3.258758396480983e-5
5-hydroxynorvaline NIST,810,1429,872,1.2509087234142902e-5,2.238024123832741e-5,1.3378706787812697e-5
5-Hydroxymethyl-2-furancarboxaldehyde HMDB,18616,17393,6096,2.8749279993926455e-4,2.7239995511422577e-4,9.35282070854429e-5
5'-deoxy-5'-methylthioadenosine,180,143,160,2.779797163142867e-6,2.239590270875311e-6,2.454808584919761e-6
4-hydroxymandelic acid,919,852,834,1.4192408849601637e-5,1.3343572802697658e-5,1.2795689748894255e-5
4-hydroxybutyric acid,201,183,241,3.1041068321762018e-6,2.86604908790337e-6,3.69755543103539e-6
4-hydroxybenzoic acid,1094,1282,1424,1.6894989424879424e-5,2.0078005085749293e-5,2.1847796405785872e-5
4-aminobutyric acid,22155,19454,22490,3.4214670083016787e-4,3.046782456615965e-4,3.450540317177839e-4
3-phenyllactic acid,505,731,439,7.798875374373044e-6,1.1448534881187779e-5,6.735381054873594e-6
3-hydroxybutyric acid,18543,14504,17712,2.8636543775643436e-4,2.271539670543742e-4,2.7174731035061757e-4
3-hydroxy-3-methylglutaric acid,237,131,147,3.660066264804775e-6,2.0516526257668932e-6,2.2553553873950304e-6
3-dehydroshikimic acid,1256,974,987,1.9396806871708006e-5,1.5254272194633237e-5,1.5143100458223776e-5
"3,6-anhydro-D-galactose",92588,87080,86226,0.0014298658874503988,0.0013638008446700844,0.0013229270315205707
"3,4-dihydroxycinnamic acid",1369,1210,1293,2.1141901757458804e-5,1.8950379215098786e-5,1.9837921876882818e-5
"3,4-dihydroxybenzoic acid",19629,19129,20160,3.0313688064072963e-4,2.995882677732435e-4,3.093058816998899e-4
3-(4-hydroxyphenyl)propionic acid,1203,921,681,1.8578311040338163e-5,1.4424214262071059e-5,1.0448279039564733e-5
2-monoolein,9257,12319,10400,1.4295879077340845e-4,1.9293365417421648e-4,1.5956255801978446e-4
2-isopropylmalic acid,404,275,284,6.239100299498435e-6,4.3069043670679054e-6,4.3572852382325756e-6
2-hydroxyglutaric acid,316,358,400,4.880088353073033e-6,5.606806412401128e-6,6.1370214622994024e-6
2-deoxytetronic acid,490,376,572,7.567225610777805e-6,5.888712880063755e-6,8.775940691088145e-6
2-deoxyerythritol,8261,9570,9492,1.2757724647068458e-4,1.4988027197396312e-4,1.4563151930036482e-4
"2,3-dihydroxypyridine",1304,1206,603,2.013808611521277e-5,1.888773333339598e-5,9.25155985441635e-6
"2,3-dihydroxybutanoic acid NIST",141,194,182,2.177507777795246e-6,3.0383252625860864e-6,2.792344765346228e-6
1-monostearin,4297,2439,2977,6.635993561124944e-5,3.81983263682859e-5,4.5674782233163304e-5
1-monopalmitin,1314,1312,691,2.029251929094293e-5,2.0547849198520336e-5,1.0601704576122219e-5
1-methylinosine NIST,948,876,958,1.46402650592191e-5,1.3719448092914492e-5,1.4698166402207069e-5
1-methyladenosine,2634,4515,5152,4.067769848732395e-5,7.071153897204216e-5,7.90448364344163e-5
1-kestose,437,2584,2816,6.748729779407961e-6,4.046923958001261e-5,4.32046310945878e-5
1-deoxyerythritol,8261,9570,9492,1.2757724647068458e-4,1.4988027197396312e-4,1.4563151930036482e-4
519282,12628,8179,9528,1.9501821431204514e-4,1.2809516661181237e-4,1.4618385123197177e-4
519270,3242,2918,3307,5.006723557171764e-5,4.5700170702196904e-5,5.073782493956031e-5
519264,9260,3774,848,1.430051207261275e-4,5.910638938659737e-5,1.3010485500074734e-5
519261,5044,3960,4150,7.789609383829235e-5,6.2019422885777845e-005,6.36715976713563e-5
519249,1208,1069,983,1.865552762820324e-5,1.6742111885074878e-5,1.5081730243600782e-5
519244,19016,16824,10262,2.936701269684709e-4,2.6348857844200164e-4,1.5744528561529116e-4
513995,1234,1840,554,1.9057053885101656e-5,2.8817105583290715e-5,8.499774725284673e-6
513551,1161,1000,992,1.7929691702271494e-5,1.5661470425701477e-5,1.5219813226502519e-5
511927,63,41,75,9.729290071000036e-7,6.421202874537605e-7,1.150691524181138e-6
509528,378,362,370,5.837574042600021e-6,5.669452294103934e-6,5.676744852626947e-6
486482,99,86,97,1.5288884397285768e-6,1.3468864566103268e-6,1.4882277046076052e-6
486432,4533,2617,2583,7.000455855848121e-5,4.098606810406076e-5,3.962981609279839e-5
480022,3128,2762,9361,4.830669736839382e-5,4.325698131578747e-5,1.4362164477146178e-4
475884,380,750,390,5.868460677746052e-6,1.1746102819276106e-5,5.983595925741918e-6
475793,3228,3317,3297,4.9851029125695414e-5,5.194909740205179e-5,5.058439940300283e-5
474908,3225,3061,68,4.980469917297637e-5,4.793976097307222e-5,1.0432936485908985e-6
474901,13928,11510,716,2.1509452715696585e-4,1.8026352459982398e-4,1.098526841751593e-5
472871,216206,105785,92072,0.0033389379191914818,0.0016567486489828306,0.0014126196001920765
425117,1867,2074,2399,2.8832673908820737e-5,3.248188966290486e-5,3.680678622014067e-5
418204,72452,46368,3121,0.00111889924480015,7.26191060698926e-4,4.788410995959109e-5
417918,3133,2566,1664,4.83839139562589e-5,4.018733311234999e-5,2.5530009283165516e-5
414322,141,155,320,2.177507777795246e-6,2.4275279159837286e-6,4.909617169839522e-6
408463,90990,116596,117509,0.0014051874659687194,0.0018260648057550892,0.0018028881375333513
408457,684,720,279,1.0563229219942894e-5,1.1276258706505063e-5,4.280572469953833e-6
406896,938,3469,1861,1.4485831883488941e-5,5.432964090675842e-5,2.855249235334797e-5
404202,1594,4044,4534,2.461664821138739e-5,6.333498640153677e-5,6.956313827516372e-5
403831,752,659,653,1.1613374814907978e-5,1.0320909010537272e-5,1.0018687537203774e-5
403585,2664,2108,1051,4.114099801451443e-5,3.301437965737871e-5,1.612502389219168e-5
403523,3078,2441,2721,4.753453148974303e-5,3.82296493091373e-5,4.174708849729169e-5
