BinBase name,F_PAC_16_016,F_PAC_17_017,F_PAC_18_018,normF_PAC_16_016,normF_PAC_17_017,normF_PAC_18_018
14739,138,65,113,2.131177825076198e-6,1.017995577670596e-6,1.7337085630995813e-6
14729,308,529,367,4.756541812488906e-6,8.28491785519608e-6,5.630717191659702e-6
14719,969,1225,1116,1.4964574728252434e-5,1.918530127148431e-5,1.712228987981533e-5
14712,14891,14626,15766,2.2996644197978018e-4,2.2906466644630977e-4,2.4189070093653096e-4
14709,5459,5121,5353,8.430507063109395e-5,8.020239005001726e-5,8.212868971922176e-5
14703,13582,11386,12573,2.0975113927670233e-4,1.78321502267037e-4,1.9290192711372597e-4
14702,15137,13386,15135,2.337654981027421e-4,2.0964444311843996e-4,2.3220954957975365e-4
14696,547,3572,3878,8.447494712439712e-6,5.594277236060567e-5,5.949842307699271e-5
14694,2332,2310,2667,3.601381658027314e-5,3.617799668337041e-5,4.091859059988127e-5
14689,79119,47283,56552,0.0012218598430594472,7.405213061384429e-4,8.676520943398895e-4
13146,73,165,99,1.1273621828301628e-6,2.5841426202407433e-6,1.518912811919102e-6
13139,3833,3358,3872,5.9194236257370055e-5,5.259121768950555e-5,5.940636775505822e-5
10176,2915,3321,3419,4.501727072534143e-5,5.20117432837546e-5,5.245619094900415e-5
6485,9295,8688,9118,1.4354563684118305e-4,1.3606685505849442e-4,1.3989340423311487e-4
6435,1553,1433,1761,2.3983472190893737e-5,2.2442887120030213e-5,2.701823698777312e-5
6422,9295,8688,9433,1.4354563684118305e-4,1.3606685505849442e-4,1.4472630863467567e-4
6404,17718,13927,16365,2.736247007586962e-4,2.1811729861874444e-4,2.510808905763243e-4
5837,35104,9932,39760,5.421222200831512e-4,1.5554972426806704e-4,6.100199333525607e-4
5244,153311,116172,117509,0.002367630460436645,0.0018194243422945918,0.0018028881375333513
4983,648,190,447,1.0007269787314321e-5,2.9756793808832803e-6,6.8581214841195825e-6
4862,144857,73849,97609,0.002237072653674368,0.0011565839294676282,0.0014975713197839559
4852,183,110,173,2.826127115861915e-6,1.7227617468271624e-6,2.6542617824444918e-6
4850,3698,2655,4600,5.71093883850129e-5,4.158120398023742e-5,7.057574681644313e-5
4849,1835,1515,564,2.833848774648423e-5,2.3727127694937735e-5,8.653200261842157e-6
4801,1322,1171,618,2.0416065831527057e-5,1.8339581868496428e-5,9.481698159252578e-6
4795,1568,2003,2297,2.4215121954488975e-5,3.1369925262680056e-5,3.524184574725432e-5
4766,14280,14366,111177,2.2053057494266745e-4,2.2499268413562738e-4,0.0017057390877851517
4755,1683,1686,2394,2.5991103475385807e-5,2.6405239137732686e-5,3.6730073451861925e-5
4744,3042,3289,2747,4.697857205711446e-5,5.151057623013215e-5,4.214599489234115e-5
4735,4632,3690,4958,7.153344699820978e-5,5.7790825870838446e-5,7.60683810252011e-5
4732,1730,1704,1489,2.6716939401317554e-5,2.6687145605395315e-5,2.2845062393409526e-5
4729,32814,32104,31805,5.067570228409447e-4,5.027958465467202e-4,4.8796991902108123e-4
4723,721,82,731,1.1134631970144485e-5,1.284240574907521e-6,1.1215406722352158e-5
4721,488,856,804,7.536338975631773e-6,1.3406218684400463e-5,1.2335413139221799e-5
4716,8545,7989,8473,1.3196314866142111e-4,1.2511948723092908e-4,1.2999745712515709e-4
4713,6693,6981,7257,1.033621245161956e-4,1.09332725041822e-4,1.1134091187976691e-4
4709,1084,1252,1174,1.6740556249149266e-5,1.9608160972978246e-5,1.8012157991848746e-5
4708,132,140,52,2.0385179196381025e-6,2.1926058595982066e-6,7.978127900989224e-7
4707,697,703,669,1.0763992348392102e-5,1.1010013709268138e-5,1.0264168395695751e-5
4550,170,403,151,2.6253639874127077e-6,6.311572581557694e-6,2.3167256020180245e-6
4546,959,1391,1814,1.4810141552522274e-5,2.1785105362150752e-5,2.783139233152779e-5
4541,47277,55612,55391,7.30113724899474e-4,8.709656933141105e-4,8.498393895455655e-4
3772,466,1064,483,7.196585989025423e-6,1.666380453294637e-5,7.410453415726529e-6
3365,659,556,549,1.0177146280617496e-5,8.70777755669002e-6,8.42306195700593e-6
3246,183,201,210,2.826127115861915e-6,3.1479555555659967e-6,3.2219362677071865e-6
3229,3948,3289,3645,6.097021777826688e-5,5.151057623013215e-5,5.592360807520331e-5
3204,5295,760,1135,8.177236654911933e-5,1.1902717523533121e-5,1.7413798399274554e-5
3194,3156,2957,39315,4.873911026043827e-5,4.6310968048799266e-5,6.031924969757526e-4
3182,10369,9395,9754,1.6013175991460215e-4,1.4713951464946537e-4,1.4965126835817094e-4
3178,5510,5218,1989,8.509267982731776e-5,8.17215526813103e-5,3.051633922128378e-5
3175,10799,13145,13634,1.66772386470999e-4,2.058700287458459e-4,2.0918037654247515e-4
3166,2458,2762,3107,3.795967459447315e-5,4.325698131578747e-5,4.766931420841061e-5
3161,18305,16310,18261,2.826899281740566e-4,2.5543858264319105e-4,2.801703723076235e-4
2821,946,1077,1015,1.4609378424073068e-5,1.6867403648480488e-5,1.5572691960584734e-5
2394,6318,6306,6110,9.757088042631463e-5,9.87612325044735e-5,9.374300283662338e-5
2018,955,777,751,1.4748368282230211e-5,1.2168962520770046e-5,1.1522257795467129e-5
2017,376,205,371,5.806687407453989e-6,3.2106014372688023e-6,5.692087406282696e-6
1981,2329,1969,2325,3.59674866275541e-5,3.0837435268206206e-5,3.5671437249615277e-5
1970,46673,80439,40751,7.207859610853725e-4,0.001259793019573001,6.252244040254074e-4
1967,557,873,476,8.601927888169872e-6,1.3672463681637388e-5,7.303055540136289e-6
1846,661,654,424,1.0208032915763529e-5,1.0242601658408764e-5,6.505242750037367e-6
1771,292,289,171,4.509448731320651e-6,4.526164953027726e-6,2.6235766751329947e-6
1753,4749,2757,5572,7.334031515425264e-5,4.317867396365897e-5,8.548870896983068e-5
1746,278,343,347,4.293242285298428e-6,5.371884356015606e-6,5.323866118544732e-6
1744,7326,12462,11688,1.1313774453991469e-4,1.9517324444509178e-4,1.7932376712838854e-4
1717,253,191,135,3.90715934597303e-6,2.9913408513089816e-6,2.0712447435260485e-6
1715,5448,5049,4757,8.413519413779078e-5,7.907476417936675e-5,7.298452774039565e-5
1704,18370,44116,23000,2.836937438163026e-4,6.909214293002463e-4,3.5287873408221563e-4
1684,5815,5031,5533,8.980289168708762e-5,7.879285771170412e-5,8.489034937725649e-5
892,1594,2972,4415,2.461664821138739e-5,4.6545890105184785e-005,6.773737439012966e-5
592,1042,1673,606,1.6091936911082597e-5,2.6201640022198568e-5,9.297587515383595e-6
309,201,704,229,3.1041068321762018e-6,1.1025675179693839e-5,3.513444787166408e-6
303,380,312,299,5.868460677746052e-6,4.886378772818861e-6,4.5874235430688035e-6
168,3340,1359,4288,5.15806806938732e-5,2.1283938308528304e-5,6.57888700758496e-5
136,90,122,60,1.3898985815714335e-6,1.91069939193558e-6,9.205532193449104e-7
134,5279,2139,3273,8.152527346795109e-5,3.3499885240575456e-5,5.021617811526486e-5
68,203424,153290,158142,0.0031415414339731923,0.0024007468015557793,0.0024263021202273805
