BinBase name,F_PACT_22_022,F_PACT_23_023,F_PACT_24_024,normF_PACT_22_022,normF_PACT_23_023,normF_PACT_24_024
347748,417,477,292,5.341403557923e-6,6.126296019849507e-6,3.7357230770915586e-6
347663,957,1329,1396,1.2258329028614655e-5,1.7068862495555546e-5,1.7859826765821287e-5
347660,866,716,153,1.109269899559069e-5,9.195865723715403e-6,1.957416543818522e-6
346561,686,378,471,8.787057172026806e-6,4.8548006195033835e-6,6.025772497637411e-6
346225,7592,2985,1514,9.724684846942785e-5,3.8337512828617986e-5,1.9369468283276096e-5
345140,17519,14403,16219,2.244029950389761e-4,1.8498331566853764e-4,2.0749894721694515e-4
342554,11164,7645,8574,1.4300102954592896e-4,9.818770036006182e-5,1.0969208788692816e-4
341252,501,785,834,6.4173697422528125e-6,1.0082059487593004e-5,1.0669839199638218e-5
334782,430,170,422,5.507922134069281e-6,2.183375939988294e-6,5.398887460728211e-6
330511,1926,1606,1596,2.467036751213357e-5,2.0626480938948238e-5,2.041854120218537e-5
330432,4097,3122,3106,5.2478969728562425e-5,4.0097056968490905e-5,3.973683519673418e-5
330287,1482,1208,188119,1.8983117680675986e-5,1.551481256179917e-5,0.0024067140052718727
330286,7232,2500,5837,9.263556482230008e-5,3.2108469705710204e-5,7.46760808252857e-5
329366,1142,1008,1056,1.4628016458388647e-5,1.2946134985342354e-5,1.3510012224002348e-5
329362,801,692,723,1.0260106114859287e-5,8.887624414540586e-6,9.249752687456153e-6
329361,5057,2801,4480,6.477572612090314e-5,3.5974329458277715e-5,5.731520337455542e-5
327365,486,427,425,6.225232923622489e-6,5.4841266257353034e-6,5.437268177273673e-6
324872,1113,670,242,1.4256551942370022e-5,8.605069881130335e-6,3.0960444680005383e-6
324726,39777,27055,32640,5.095084156438924e-4,3.4747785915519583e-4,4.1758219601461806e-4
324718,5578,4977,4840,7.144927828799639e-5,6.392154149012788e-5,6.192088936001076e-5
320865,1989,1959,2226,2.5477342150380927e-5,2.516019686139452e-5,2.8478491676732224e-5
318789,2733,2616,2429,3.5007328354444985e-5,3.359830270005516e-5,3.107558682964177e-5
253506,2366,1705,1644,3.0306380858623065e-5,2.1897976339294362e-5,2.1032632666912746e-5
250808,9870,6759,8130,1.2642602665875302e-4,8.680845869635812e-5,1.040117418381999e-4
250761,502,451,417,6.430178863494835e-6,5.792367934910121e-6,5.334919599819109e-6
232333,710,235,645,9.094476081835324e-6,3.0181961523367593e-6,8.251854057274161e-6
232329,559,213,356,7.160298774290065e-6,2.7356416189265097e-6,4.554511696728064e-6
232320,885,893,1085,1.1336072299189101e-5,1.1469145378879685e-5,1.388102581727514e-5
230854,13054,4505,2643,1.6721026869334974e-4,5.785946240968979e-5,3.381341127655133e-5
228439,281,222,190,3.5993630690080646e-6,2.8512321098670664e-6,2.430778714545877e-6
228300,9422,7101,8006,1.2068754034232735e-4,9.120089735209926e-5,1.0242533888765417e-4
228290,409,317,348,5.238930587986827e-6,4.071353958684054e-6,4.452163119273501e-6
227260,366,238,284,4.6881383745799e-6,3.0567263159836117e-6,3.633374499636995e-6
223095,2698,1672,2054,3.455900911097423e-5,2.1474144539178987e-5,2.6277997261459115e-5
217691,4889,7755,6803,6.262379375224351e-5,9.960047302711307e-5,8.703467155292423e-5
214730,2329,4304,1288,2.9832443372668266e-5,5.527794144535069e-5,1.6478120970184682e-5
213020,5843,2957,4630,7.484369541713211e-5,3.7977897967914035e-5,5.923423920182848e-5
213019,2599,1551,2147,3.3290906108014095e-5,1.9920094605422613e-5,2.746779947436841e-5
210804,12784,7024,9509,1.637518059580039e-4,9.021195648516339e-5,1.2165407787693023e-4
210803,4082,3508,5390,5.22868329099321e-5,4.505460469105256e-5,6.895735406001199e-5
210797,410,720,587,5.251739709228849e-6,9.247239275244539e-6,7.509826870728578e-6
210790,4908,7101,4504,6.286716705584193e-5,9.120089735209926e-5,5.7622249106919105e-5
210694,5468861,4898392,5722029,0.0700513036047634,0.06291194845547729,0.07320519103796963
210345,3194,2619,563,4.0912333247016933e-5,3.363683286370201e-5,7.202781138364888e-6
210305,5187,33852,39740,6.644091188236594e-5,4.3477436659108076e-4,5.08416558505543e-4
210297,6751,15159,15886,8.64743775048877e-5,1.946929169075444e-4,2.0323868768039896e-4
210289,4342,2898,3615,5.561720443285771e-5,3.7220138082859274e-5,4.624876343728077e-5
210283,22313,19900,20186,2.8580992227322756e-4,2.5558341885745326e-4,2.582510480622267e-4
210272,29952,17602,23667,3.8365879944103046e-4,2.2606931350396443e-4,3.0278547282714356e-4
210267,366,232,251,4.6881383745799e-6,2.979665988689907e-6,3.2111866176369217e-6
210261,2225,1978,1464,2.8500294763498022e-5,2.5404221231157914e-5,1.8729789674185074e-5
209679,1242,45715,47293,1.5908928582590805e-5,5.871354770386169e-4,6.050464091948325e-4
208616,6342,9809,9496,8.123544691690087e-5,1.2598079173732456e-4,1.2148776143856657e-4
208244,2546,2818,2789,3.261202268218695e-5,3.619266705227654e-5,3.568127281509711e-5
205795,2407,1872,2124,3.083155482954595e-5,2.4042822115635803e-5,2.717354731418654e-5
204855,1371,1161,1875,1.756130522281159e-5,1.491117333133182e-5,2.398794784091326e-5
204582,135,84,226,1.7292313676729137e-6,1.0788445821118629e-6,2.8913473130914115e-6
203815,2220,659,782,2.8436249157287914e-5,8.46379261442521e-6,1.0004573446183557e-5
196521,1254,930,1185,1.6062638037495064e-5,1.1944350730524197e-5,1.516038303545718e-5
196436,931,653,636,1.1925291876322094e-5,8.386732287131506e-6,8.136711907637778e-6
196278,1965,1542,1561,2.516992324057241e-5,1.9804504114482057e-5,1.9970766175821653e-5
190001,484,298,317,6.199614681138446e-6,3.827329588920657e-6,4.055562381637068e-6
189936,24529,18619,22668,3.141949349455474e-4,2.3913103898024732e-4,2.9000469421750494e-4
189286,1647,936,1604,2.1096622685609546e-5,1.2021411057817901e-5,2.052088977963993e-5
188945,3293,1240,2850,4.2180436249977074e-5,1.5925800974032262e-5,3.646168071818816e-5
187301,2336,2084,2068,2.9922107221362417e-5,2.676562034668003e-5,2.6457107272004597e-5
187055,936,974,943,1.1989337482532202e-5,1.2509459797344696e-5,1.2064338567456643e-5
171968,40306,5439,6653,5.16284440780922e-4,6.985518669174312e-5,8.511563572565116e-5
171596,519,672,702,6.6479339246092015e-6,8.630756656894903e-6,8.981087671637925e-6
171564,128767,94084,122684,0.001649392114971393,0.0012083573055168156,0.0015695666095544545
171297,132643,94482,112882,0.0016990402689054688,0.0012134689738939647,0.001444164015028251
170725,59155,46549,53971,7.577235670717867e-4,5.978468625324417e-4,6.904818842250291e-4
168874,8941,10367,10954,1.1452635302491497e-4,1.3314740217563908e-4,1.4014078967966072e-4
168871,188,145,74,2.4081147935000574e-6,1.862291242931192e-6,9.4672434145471e-7
168860,520,451,633,6.660743045851223e-6,5.792367934910121e-6,8.098331191092317e-6
168835,251,201,652,3.2150894317474175e-6,2.5815209643391007e-6,8.341409062546904e-6
168800,17836,13409,16387,2.2846348647269694e-4,1.7221698811354725e-4,2.0964826734349098e-4
168759,7232,2978,4399,9.263556482230008e-5,3.8247609113442e-5,5.6278924027827966e-5
167348,455552,464596,561391,0.005835220800045416,0.005966986636557655,0.00718219628072434
163872,2459,1620,2660,3.149762913413107e-5,2.0806288369300214e-5,3.403090200364228e-5
161846,103211,94377,41060,0.0013220422125102896,0.0012121204181663248,5.253040737855458e-4
160822,978,806,1037,1.2527320574697107e-5,1.0351770633120971e-5,1.326693435254776e-5
160463,524494,512299,1063504,0.006718307236712868,0.006579654768706253,0.013606015189654729
146868,618,325,348,7.916036927569338e-6,4.174101061742327e-6,4.452163119273501e-6
146430,3031,8223,9150,3.8824446484567416e-005,1.0561117855602201e-4,1.1706118546365672e-4
146262,422,377,301,5.405449164133108e-6,4.841957231621099e-6,3.850865226727942e-6
138111,588,556,600,7.53176329030869e-6,7.14092366254995e-6,7.676143309092243e-6
136141,3807,5623,3033,4.8764324568376166e-5,7.22183700620834e-5,3.880290442746129e-5
135888,2302,2083,2634,2.9486597099133682e-5,2.6752776958797745e-5,3.369826912691495e-5
135773,884,763,278,1.132326317794708e-5,9.799504954182755e-6,3.5566130665460725e-6
135765,662,814,833,8.479638262218288e-6,1.0454517736179243e-5,1.0657045627456398e-5
135618,1158,1738,1026,1.4832962398260993e-5,2.2321808139409736e-5,1.3126205058547736e-5
135617,767,1026,865,9.824595992630554e-6,1.317731596722347e-5,1.1066439937274651e-5
135613,6648,5512,5657,8.515503801695949e-5,7.079275400714986e-5,7.237323783255803e-5
135609,102611,381779,388450,0.0013143567397650767,0.004903335782310535,0.004969663114028137
135193,2150,1563,1614,2.75396106703464e-5,2.007421526001002e-5,2.0648825501458134e-5
135163,267,312,158,3.4200353716197625e-6,4.0071370192726335e-6,2.021384404727624e-6
135128,104,70,75,1.3321486091702447e-6,8.990371517598857e-7,9.595179136365304e-7
134941,1198,841,759,1.5345327247941855e-5,1.0801289209000913e-5,9.710321286001688e-6
134750,525,349,356,6.724788652061331e-6,4.482342370917145e-6,4.554511696728064e-6
134464,17907,12928,15022,2.2937293408088047e-4,1.6603931854216862e-4,1.9218504131530612e-4
134365,1989,5704,2417,2.5477342150380927e-5,7.325868448054841e-5,3.092206396345992e-5
134132,588,556,600,7.53176329030869e-6,7.14092366254995e-6,7.676143309092243e-6
133780,270,450,407,3.4584627353458275e-6,5.779524547027837e-6,5.206983878000905e-6
133675,1857,1586,1590,2.3786538146434077e-5,2.0369613181302555e-5,2.0341779769094445e-5
133610,180,343,186,2.305641823563885e-6,4.40528204362344e-6,2.3796044258185954e-6
133584,428,1206,1748,5.482303891585238e-6,1.5489125786034604e-5,2.236316417382207e-5
133018,6676,3912,6078,8.551369341173609e-5,5.0243333395495334e-5,7.775933172110443e-5
133012,334,542,356,4.278246494835209e-6,6.9611162321979725e-6,4.554511696728064e-6
133010,11555,15473,16348,1.4800939595155938e-4,1.9872574070258162e-4,2.091493180284e-4
132978,1803,1597,1637,2.3094845599364912e-5,2.051089044800768e-5,2.0943077661640003e-5
131663,9574,6987,5252,1.2263452677111462e-4,8.973675113351888e-5,6.719184109892076e-5
131662,8677,8593,5386,1.1114474501702128e-4,1.1036323207246712e-4,6.89061797712847e-5
131597,401,331,180,5.136457618050654e-6,4.251161389036032e-6,2.302842992727673e-6
131464,25362,19207,21750,3.2486493294015136e-4,2.466829510550304e-4,2.782601949545938e-4
131450,12939,9695,9361,1.6573721975051726e-4,1.2451664551874417e-4,1.1976062919402081e-4
131202,1764,1732,1936,2.2595289870926073e-5,2.2244747812116033e-5,2.4768355744004307e-5
131168,4283,4086,4522,5.486146627957844e-5,5.247808288701276e-5,5.785253340619187e-5
131166,3149,2662,2655,4.033592279112596e-5,3.418909854264023e-5,3.396693414273318e-5
130638,588,556,600,7.53176329030869e-6,7.14092366254995e-6,7.676143309092243e-6
130597,4511,4166,4371,5.778194592275936e-5,5.350555391759549e-5,5.5920704006736994e-5
130558,470,363,479,6.020286983750144e-6,4.662149801269122e-6,6.128121075091974e-6
128297,23335,257,21375,2.989008441825736e-4,3.3007506857470093e-6,2.7346260538641117e-4
128051,1802,1119,1365,2.308203647812289e-5,1.4371751040275888e-5,1.7463226028184852e-5
128047,2180,2179,4298,2.792388430760705e-5,2.7985742195497017e-5,5.49867732374641e-5
127640,10478,7833,8905,1.3421397237390215e-4,1.0060225728193122e-4,1.1392676027911071e-4
127380,5468861,4898392,5722029,0.0700513036047634,0.06291194845547729,0.07320519103796963
127358,4266,1161,3595,5.464371121846407e-5,1.491117333133182e-5,4.5992891993644356e-5
127344,378,271,316,4.841847829484159e-6,3.4805581160989863e-6,4.042768809455248e-6
127277,125509,23909,20198,0.0016076599979648867,3.070725608775301e-4,0.00025840457092840855
126690,89,70,79,1.140011790539921e-6,8.990371517598857e-7,1.010692202363812e-6
126585,641,730,832,8.210646716135835e-6,9.37567315406738e-6,1.0644252055274578e-5
126582,591,583,623,7.570190654034756e-6,7.48769513537162e-6,7.970395469274112e-6
125960,14754,13829,8586,1.8898577480478643e-4,1.7761121102410657e-4,1.0984561075311001e-4
125884,948,856,952,1.214304693743646e-5,1.0993940027235175e-5,1.2179480717093026e-5
125816,2022,1953,1598,2.590004315136764e-5,2.508313653410081e-5,2.044412834654901e-5
125811,29796,22310,33614,3.8166057652727506e-4,2.865359836537579e-4,4.3004313531971113e-4
125810,4393,5796,6214,5.6270469616200814e-5,7.444027616571855e-5,7.9499257537832e-5
125802,8821,6771,486,1.1298925847587238e-4,8.696257935094553e-5,6.217676080364717e-6
125785,378,271,316,4.841847829484159e-6,3.4805581160989863e-6,4.042768809455248e-6
125241,191,140,142,2.4465421572261224e-6,1.7980743035197714e-6,1.8166872498184976e-6
125070,720,730,590,9.22256729425554e-6,9.37567315406738e-6,7.548207587274039e-6
124960,5185,3842,2667,6.641529363988191e-5,4.934429624373544e-5,3.4120457008915024e-5
124615,4567,17686,22200,5.849925671231257e-5,2.2714815808607628e-4,2.84017302436413e-4
124607,874,1139,910,1.1195171965526863e-5,1.462861879792157e-5,1.164215068545657e-5
124605,11636,14912,8896,1.4904693477216314e-4,1.9152060010062025e-4,1.1381161812947432e-4
124602,3983,1281,3042,5.1018729906971966e-5,1.645237987720591e-5,3.891804657709768e-5
124356,1712,661,796,2.192921556634095e-5,8.48947939018978e-6,1.0183683456729043e-5
123962,7093,9657,14748,9.085509696965909e-5,1.240285967792174e-4,1.8867960253748735e-4
121482,819,623,637,1.0490670297215676e-5,8.001430650662983e-6,8.149505479819598e-6
120954,1161,763,966,1.4871389761987058e-5,9.799504954182755e-6,1.2358590727638512e-5
120744,6151,4211,5637,7.878890475967475e-5,5.408350637229827e-5,7.211736638892163e-5
120466,524494,512299,951077,0.006718307236712868,0.006579654768706253,0.012167672249969206
119025,1122,746,851,1.4371834033548215e-5,9.581167360183926e-6,1.0887329926729165e-5
118964,487,816,685,6.2380420448645105e-6,1.048020451194381e-5,8.763596944546978e-6
117982,104835,6860,8807,0.0013428442254073327,8.81056408724688e-5,1.1267299020529231e-4
113563,386,398,139,4.944320799420331e-6,5.111668377149065e-6,1.7783065332730363e-6
111826,4295,6620,4647,5.50151757344827e-5,8.502322778072062e-5,5.945172992891942e-5
111821,22217,16624,19763,2.845802466339935e-4,2.1350848015509058e-4,2.528393670293167e-4
111776,538,525,557,6.891307228207611e-6,6.742778638199143e-6,7.126019705273966e-6
111399,30519,31419,36473,3.9092157118525666e-4,4.0352640387348356e-4,4.6661995818753565e-4
110889,15593,10795,27317,1.9973262752684255e-4,1.3864437218925668e-4,3.49482011290788e-4
110873,7584,12116,9951,9.714437549949168e-5,1.5561048758175395e-4,1.2730883678129486e-4
110842,440,7907,9391,5.636013346489497e-6,1.0155266798522024e-4,1.2014443635947543e-4
110801,4021,4598,3479,5.1505476514168783e-5,5.905389748274221e-5,4.4508837620553194e-5
110604,20648,19548,100533,2.6448273540526166e-4,2.5106254632288925e-4,0.0012861761921549508
110368,2078,1586,1590,2.661735394092085e-5,2.0369613181302555e-5,2.0341779769094445e-5
110134,564,345,562,7.224344380500173e-6,4.430968819388008e-6,7.189987566183068e-6
110022,133,145,437,1.7036131251888705e-6,1.862291242931192e-6,5.590791043455517e-6
109990,6580,5543,6091,8.428401777250201e-5,7.119089903150067e-5,7.792564815946808e-5
109714,4021,4386,3479,5.1505476514168783e-5,5.6331099251697986e-5,4.4508837620553194e-5
109532,476,498,509,6.097141711202273e-6,6.396007165377473e-6,6.511928240546586e-6
109395,4021,4598,3479,5.1505476514168783e-5,5.905389748274221e-5,4.4508837620553194e-5
108950,3569,2594,3177,4.571575371277503e-5,3.331574816664491e-5,4.064517882164343e-5
108834,914,1053,931,1.1707536815207727e-5,1.3524087440045138e-5,1.1910815701274798e-5
108829,374,328,337,4.790611344516072e-6,4.212631225389179e-6,4.3114338252734766e-6
108825,12356,22420,19042,1.5826950206641868e-4,2.8794875632080915e-4,2.4361520148622417e-4
108314,4293702,3960779,4658258,0.05499854949511055,0.050869821013005266,0.05959575996454236
107237,15709,7407,9483,2.0121848559091703e-4,9.51309740440782e-5,1.213214450002029e-4
106482,339,181,353,4.342292101045316e-6,2.324653206693419e-6,4.516130980182603e-6
106387,17956,13609,15468,2.3000058102173954e-4,1.7478566569000407e-4,1.9789097450839804e-4
106385,3862,2841,3380,4.946882623668735e-5,3.648806497356908e-5,4.324227397455297e-5
106384,14135,24199,14069,1.8105692875597506e-4,0.00031079714336339253,1.7999276702603128e-4
105630,52278,40059,49853,6.696352402904043e-4,5.144932751764181e-4,6.377979539802927e-4
105516,3411,2647,2687,4.369191255653562e-5,3.399644772440597e-5,3.437632845255143e-5
105081,689,597,394,8.82548453575287e-6,7.667502565723598e-6,5.04066743963724e-6
104922,15099,10925,12062,1.9340492163328387e-4,1.403140126139536e-4,1.5431606765711772e-4
104366,216,222,182,2.766770188276662e-6,2.8512321098670664e-6,2.328430137091314e-6
104365,1408,1131,976,1.8035242708766387e-5,1.4525871694863297e-5,1.2486526449456716e-5
104288,11766,9552,5907,1.5071212053362594e-4,1.2268004105157757e-4,7.557163087801313e-5
103129,71907,8471,27560,9.210654811500459e-4,1.0879633875082846e-4,3.5259084933097036e-4
102809,3653,2629,2712,4.679171989710484e-5,3.376526674252485e-5,3.469616775709694e-5
102715,3186,2776,2668,4.080986027708076e-5,3.5653244761220615e-5,3.413325058109684e-5
102679,806,1029,763,1.0324151721069396e-5,1.3215846130870321e-5,9.761495574728969e-6
102223,18976,16249,15792,2.4306588468860156e-4,2.0869220969923407e-4,2.0203609189530785e-4
100947,1000,1182,966,1.2809121242021582e-5,1.5180884476859785e-5,1.2358590727638512e-5
100916,802,705,611,1.0272915236101309e-5,9.054588457010278e-6,7.816872603092268e-6
100897,56470,44265,53243,7.233310765369588e-4,5.685125646093049e-4,6.811681636766638e-4
100896,168,202,161,2.151932368659626e-6,2.5943643522213847e-6,2.0597651212730853e-6
100879,16207,12586,12901,2.0759742796944378e-4,1.6164687988642746e-4,1.6504987471766507e-4
100877,1483,595,1377,1.8995926801918007e-5,7.641815789959028e-6,1.7616748894366698e-5
100876,65870,49213,49436,8.437368162119616e-4,6.320616478508466e-4,6.324630343804736e-4
100865,375334,276127,319098,0.0048076987122529285,0.0035464061657714567,0.004082403296074528
100343,2707,1040,2024,3.4674291202152426e-5,1.3357123397575445e-5,2.58941900960045e-5
100017,4735,2485,3789,6.065118908097219e-5,3.1915818887475944e-5,4.8474844996917513e-005
97828,323334,187486,315721,0.004141624407667807,0.0024079554204979137,0.00403919940281652
89252,1870,1800,1536,2.395305672258036e-5,2.311809818811135e-5,1.9650926871276145e-5
89241,56124,47875,52248,7.188991205872193e-4,6.148771948643505e-4,6.684385593557525e-4
89209,1487,1028,1329,1.9047163286886093e-5,1.3203002742988037e-5,1.700265742963932e-5
88847,15206,8610,24205,1.947754976061802e-4,1.1058156966646595e-4,3.0966841466096293e-4
87951,1009,712,805,1.2924403333199777e-5,9.144492172186267e-6,1.0298825606365427e-5
87822,11259,9239,6252,1.44217896063921e-4,1.1866006064442264e-4,7.998541328074117e-5
85117,533,417,374,6.8272616219975035e-6,5.355692746912462e-6,4.7847959960008316e-6
85067,1145,2594,3276,1.4666443822114712e-5,3.331574816664491e-5,4.1911742467643647e-005
84910,73250,55276,58275,9.382681309780809e-4,7.09931108581135e-4,7.455454188955841e-4
84326,29702,24724,25433,3.8045651913052507e-4,3.1753992200159165e-4,3.253789213002384e-4
84216,905,696,588,1.1592254724029533e-5,8.938997966069722e-6,7.522620442910399e-6
84181,7303,11606,14365,9.354501243048362e-5,1.4906035976178906e-4,1.8377966439185012e-4
84151,8060,5587,7075,1.0324151721069396e-4,7.175600809832116e-5,9.051452318637937e-5
84116,985,916,949,1.261698442339126e-5,1.176454330017222e-5,1.2141100000547564e-5
84105,5243,6953,6829,6.715822267191916e-5,8.930007594552122e-5,8.736730442965155e-5
84063,8626,13700,6581,1.1049147983367817e-4,1.7595441398729193e-4,8.41944985285601e-5
66305,556,408,452,7.121871410564e-6,5.240102255971905e-6,5.782694626182823e-6
62639,1009,712,805,1.2924403333199777e-5,9.144492172186267e-6,1.0298825606365427e-5
62566,4809,3210,3075,6.159906405288179e-5,4.122727510213191e-5,3.9340234459097746e-5
46351,530873,397506,449184,0.006800016621115724,0.005105323743535216,0.005746667926918817
43762,1104,1819,1658,1.4141269851191828e-5,2.3362122557874745e-5,2.1211742677458232e-5
42357,9742,6919,7382,1.2478645913977426e-4,8.886340075752357e-5,9.444214984619824e-5
42187,3379,886,1050,4.328202067679093e-5,1.1379241663703697e-5,1.3433250790911426e-5
42007,223,137,296,2.856434036970813e-6,1.7595441398729193e-6,3.78689736581884e-6
41805,418,264,348,5.354212679165022e-6,3.3906544009229976e-6,4.452163119273501e-6
41682,1423,1073,1129,1.8227379527396713e-5,1.3780955197690821e-5,1.4443942993275238e-5
37755,29633,20722,24500,3.7957268976482556e-4,2.661406836966908e-4,3.1344251845459993e-4
34444,5054,4105,4480,6.473729875717708e-5,5.272210725677616e-5,5.731520337455542e-5
34183,13040,7407,5525,1.6703094099596144e-4,9.51309740440782e-5,7.068448630455774e-5
34113,42300,32964,39038,5.418258285375129e-4,4.233694381516125e-4,4.99435470833905e-4
34078,426,341,410,5.456685649101194e-6,4.379595267858872e-6,5.245364594546367e-6
34033,76,119,129,9.734932143936404e-7,1.5283631579918058e-6,1.6503708114548323e-6
34029,230,514,312,2.946097885664964e-6,6.601501371494019e-6,3.991594520727967e-6
34012,2526,4266,6937,3.2355840257346515e-5,5.4789892705823895e-5,8.874901022528816e-5
33993,1024,5774,7267,1.31165401518301e-5,7.415772163230829e-5,9.297088904528888e-5
31601,1356,1154,1254,1.7369168404181265e-5,1.4821269616155832e-5,1.6043139516002787e-5
31362,7438,7511,6658,9.527424379815653e-5,9.646668638383575e-5,8.517960358656025e-5
26868,9762,19378,29876,1.2504264156461468e-4,2.4887917038290096e-4,3.8222076250406646e-4
26755,839,597,464,1.0746852722056108e-5,7.667502565723598e-6,5.936217492364668e-6
26641,9771,21900,24874,1.251579236557929e-4,2.8127019462202143e-4,3.182273144506008e-4
25326,16391,15404,14626,2.0995430627797576e-4,1.9783954693870402e-4,1.8711878673130524e-4
22885,821,562,554,1.0516288539699719e-5,7.2179839898436546e-6,7.087638988728504e-6
22803,2278,1354,498,2.9179178189325165e-5,1.738994719261265e-5,6.371198946546562e-6
22735,1098,1726,2532,1.4064415123739697e-5,2.2167687484822325e-5,3.2393324764369267e-5
21709,8351,22310,33614,1.0696897149212223e-4,2.865359836537579e-4,4.3004313531971113e-4
21704,28827,23248,4501,3.6924853804375617e-4,2.9858308148734036e-4,5.758386839037365e-5
20330,7124,8138,6320,9.125217972816176e-5,1.0451949058602786e-4,8.085537618910496e-5
20281,8108,9709,4370,1.03856355030311e-4,1.2469645294909616e-4,5.590791043455517e-5
18488,135,805,1033,1.7292313676729137e-6,1.0338927245238687e-5,1.3215760063820479e-5
18388,1603,962,1362,2.0533021350960596e-5,1.2355339142757288e-5,1.7424845311639392e-5
18382,8842,6151,7552,1.1325825002195483e-4,7.899967886392939e-5,9.66170571171077e-5
18361,4218,3058,3915,5.402887339884704e-5,3.9275080144024723e-5,5.008683509182689e-5
18321,2432,1218,1302,3.115178286059649e-5,1.564324644062201e-5,1.665723098073017e-5
18318,2852,2245,2154,3.6531613782245555e-5,2.8833405795727766e-5,2.7557354479641153e-5
18305,14046,8793,46107,1.7991691696543516e-4,1.1293190964892394e-4,5.898732325871934e-4
18226,1276,845,724,1.634443870481954e-5,1.085266276053005e-5,9.262546259637974e-6
18176,3055,2257,2808,3.913186539437593e-5,2.8987526450315174e-5,3.59243506865517e-5
18173,7150,5488,7143,9.158521688045432e-5,7.048451269797504e-5,9.138448609474316e-5
18164,13811,11497,13279,1.7690677347356008e-4,1.476604304826201e-4,1.6988584500239316e-4
18157,749,369,698,9.594031810274165e-6,4.739210128562826e-6,8.929913382910644e-6
18023,596,560,365,7.634236260244863e-6,7.192297214079086e-6,4.669653846364448e-6
17962,4295,6620,4647,5.50151757344827e-5,8.502322778072062e-5,5.945172992891942e-5
17948,1388,1050,1142,1.7779060283925957e-5,1.3485557276398286e-5,1.4610259431638904e-5
17872,3569,2594,2861,4.571575371277503e-5,3.331574816664491e-5,3.660241001218818e-5
17775,7676,1696,6033,9.832281465375767e-5,2.1782385848353803e-5,7.71836209729225e-5
17710,185,179,172,2.369687429773993e-6,2.2989664309288507e-6,2.20049441527311e-6
17702,548,416,494,7.019398440627827e-6,5.342849359030178e-6,6.32002465781928e-6
17663,7600,6250,7577,9.734932143936402e-5,8.027117426427551e-5,9.693689642165321e-5
17504,2118,1418,1743,2.7129718790601713e-5,1.821192401707883e-5,2.229919631291297e-5
17480,318,295,327,4.0733005549628636e-6,3.7887994252738042e-6,4.183498103455273e-6
17471,5625,4112,4715,7.20513069863714e-5,5.281201097195215e-5,6.032169283728321e-5
17425,12161,16041,11663,1.5577172342422447e-4,2.0602078501971897e-4,1.492114323565714e-4
17350,800,886,771,1.0247296993617266e-5,1.1379241663703697e-5,9.863844152183532e-6
17349,868,753,722,1.1118317238074734e-5,9.671071075359913e-6,9.236959115274333e-6
17334,1555,1284,1408,1.991818353134356e-5,1.649091004085276e-5,1.801334963200313e-5
17297,6709,6344,4047,8.59363944127228e-5,8.147845272521022e-5,5.177558661982718e-5
17289,2495,1929,1990,3.195875749884385e-5,2.4774895224925996e-5,2.5459208641822608e-5
17225,1114,1135,1038,1.4269361063612043e-5,1.4577245246392433e-5,1.327972792472958e-5
17191,923,770,832,1.182281890638592e-5,9.889408669358743e-6,1.0644252055274578e-5
17188,681,325,327,8.723011565816697e-6,4.174101061742327e-6,4.183498103455273e-6
17186,632,314,689,8.095364624957641e-6,4.032823795037202e-6,8.814771233274259e-6
17069,656,542,666,8.402783534766157e-6,6.9611162321979725e-6,8.52051907309239e-6
17045,1208,1384,1857,1.547341846036207e-5,1.777524882908117e-5,2.3757663541640493e-5
17011,8442,6197,7364,1.081346015251462e-4,7.959047470651446e-5,9.421186554692547e-5
17010,23112,17237,19452,2.9604441014560284e-4,2.2138147692693074e-4,2.4886056608077053e-4
16857,6208,5372,7215,7.951902467046998e-5,6.899467970363009e-5,9.230562329183422e-5
16852,18976,16249,15792,2.4306588468860156e-4,2.0869220969923407e-4,2.0203609189530785e-4
16817,650,526,652,8.325928807314028e-6,6.755622026081427e-6,8.341409062546904e-6
16810,742,647,497,9.504367961580014e-6,8.309671959837802e-6,6.358405374364742e-6
16794,67088,45161,109928,8.59338325884744e-4,5.800202401518315e-4,0.0014063718028031536
16793,3066,1158,4935,3.927276572803817e-5,1.4872643167684968e-5,6.31362787172837e-5
16747,36478,27056,30975,4.672511246664633e-4,3.474907025430781e-4,3.9628089833188706e-4
16688,519,425,366,6.6479339246092015e-6,5.4584398499707355e-6,4.682447418546269e-6
16594,8837,6622,5559,1.1319420441574472e-4,8.504891455648519e-5,7.111946775873964e-5
16549,90,66,103,1.1528209117819424e-6,8.476636002307494e-7,1.3177379347275018e-6
14835,1715,1360,1548,2.1967642930067016e-5,1.7467007519906353e-5,1.9804449737457987e-5
14816,46,95,58,5.892195771329928e-7,1.2201218488169879e-6,7.420271865455835e-7
14796,2098,2127,2359,2.687353636576128e-5,2.7317886025618244e-5,3.0180036776914338e-5
14778,6847,5774,7267,8.770405314412178e-5,7.415772163230829e-5,9.297088904528888e-5
14740,1898,1377,1526,2.4311712117356963e-5,1.768534511390518e-5,1.9522991149457938e-5
14739,119,100,123,1.5242854278005682e-6,1.2843387882284082e-6,1.57360937836391e-6
14729,430,170,422,5.507922134069281e-6,2.183375939988294e-6,5.398887460728211e-6
14719,1022,1111,998,1.3090921909346057e-5,1.4269003937217616e-5,1.2767985037456765e-5
