BinBase name,F_SACT_1_001,F_SACT_2_002,F_SACT_3_003,normF_SACT_1_001,normF_SACT_2_002,normF_SACT_3_003
16857,7718,4621,6716,7.867005409305216e-5,5.063136468083537e-5,6.730731619603142e-5
16852,42339,35188,32555,4.3156406066931013e-4,3.85547816574169e-4,3.2626409749282354e-4
16817,2191,2340,2259,2.233299928969646e-5,2.5638907888585753e-5,2.263955141257221e-5
16810,5909,6101,5101,6.02308045654114e-5,6.684742608045371e-5,5.112189099403756e-5
16794,6433,35275,45771,6.557196916048258e-5,3.8650105802130876e-4,4.5871399190121413e-4
16793,2169,4629,3691,2.2108751921201107e-5,5.071901906677925e-5,3.699096248951042e-5
16747,22397,20902,16470,2.282940141904754e-4,2.2901899687488008e-4,1.6506127125500854e-4
16688,12738,13533,11771,1.2983922635881036e-4,1.4827835062232095e-4,1.1796819817502766e-4
16594,101648,103085,91716,0.0010361043869461734,0.0011294815468781464,9.191718005114976e-4
16549,204,228,259,2.079384689684198e-6,2.498149999400663e-6,2.595681193384773e-6
14835,5122,5597,5956,5.2208864610600304e-5,6.132519976598908e-5,5.969064551274019e-5
14816,89,104,92,9.071825361857531e-7,1.139507017270478e-6,9.220180300826221e-7
14796,4118,1710,4451,4.1975030157448665e-5,1.8736124995504972e-5,4.460763317280164e-5
14778,21136,22608,21641,2.1544056275080986e-4,2.4771129467741313e-4,2.1688469770671768e-4
14740,989,1057,871,1.0080938520086626e-5,1.1581335742835531e-5,8.729105480456128e-6
14739,431,484,355,4.393209810068085e-6,5.303090349604917e-6,3.5577869639057703e-6
14729,2728,2689,2372,2.7806673693423982e-5,2.9462830475387647e-5,2.3772030079956303e-5
14719,5099,5272,5462,5.197442417990062e-5,5.7764240337018846e-5,5.473980956860089e-5
14712,2809,3106,2478,2.8632311731975062e-5,3.403181534271254e-5,2.4834355201573236e-5
14709,2595,3082,2531,2.645099642024752e-5,3.3768852184880895e-5,2.5365517762381704e-5
14703,12749,4193,11777,1.2995135004305805e-4,4.5941855032837636e-5,1.1802832978568523e-4
14702,4334,4335,3619,4.417673159358487e-5,4.749772038334156e-5,3.626938316161967e-5
14696,11282,11327,10166,1.1499812778929962e-4,1.2410765369829524e-4,1.0188299232412975e-4
14694,6799,6905,5761,6.930262992726894e-5,7.565669186781394e-5,5.773636816636941e-5
14689,24759,30108,31064,2.5237002711711305e-4,3.2988728149980335e-4,3.113213922444193e-4
13146,824,846,852,8.399083256371466e-6,9.269451313565618e-6,8.538688713373849e-6
13139,5139,5659,736,5.238214666807399e-5,6.200452125705417e-5,7.376144240660977e-6
10176,7319,7999,5967,7.460302227352277e-5,8.764342914563994e-5,5.980088679894572e-5
6485,8456,8900,7851,8.619253399985088e-5,9.751550436256974e-5,7.868221254542029e-5
6435,2454,2664,2420,2.5013774649436383e-5,2.918891051931301e-5,2.42530829652168e-5
6422,2465,1872,1973,2.512589833368406e-5,2.0511126310868602e-5,1.9773277971228407e-5
6404,102886,72873,61573,0.0010487233979551392,7.984547583610725e-4,6.17080610503014e-4
5837,50386,43390,24137,5.135876322275882e-4,4.7541547576313497e-4,2.418994477402636e-4
5244,432984,169664,464050,0.004413432845481484,0.001858974217097869,0.004650678987606965
4983,766,427,850,7.807885648520077e-6,4.67855284975475e-6,8.518644843154662e-6
4862,194907,74291,94289,0.001986699175060186,8.139914982696258e-4,9.449582395484822e-4
4852,421,416,452,4.291279188024742e-6,4.558028069081912e-6,4.529914669536361e-6
4850,5045,5535,5440,5.1423998820866563e-5,6.064587827492399e-5,5.451932699618983e-5
4849,11064,7883,9555,1.1277604022875474e-4,8.637244054945363e-5,9.575958997216798e-5
4801,8399,8325,9023,8.561152945420382e-5,9.121534537285316e-5,9.042792049386412e-5
4795,9715,2679,8640,9.902559931510776e-5,2.935326249295779e-5,8.658951934688973e-5
4766,136295,138437,149194,0.001389263413139744,0.0015168262783641648,0.0014952125867407253
4755,2341,3247,2348,2.3861958620346607e-5,3.557672389497348e-5,2.3531503637326053e-5
4744,40828,52721,49180,4.1616234367856096e-4,5.776533601684314e-4,4.928787686898191e-4
4735,29637,31318,27431,3.020917845498558e-4,3.4314500737381564e-4,2.749117019912653e-4
4732,4346,4422,2613,4.4299048340036886e-5,4.845096183048128e-5,2.6187316441368387e-5
4729,1643,2336,1598,1.6747201201721263e-5,2.559508069561381e-5,1.6015052305130762e-5
4723,3844,4104,4052,3.918213111346106e-5,4.4966699989211935e-5,4.060888106407375e-5
4721,5226,4253,2814,5.3268943079851075e-5,4.6599262927416756e-5,2.8201725398396725e-5
4716,7375,12111,5010,7.51738337569655e-5,1.3269778352079575e-4,5.020989489906453e-5
4713,21452,24132,20272,2.186615704073795e-4,2.644094551997228e-4,2.0316466854168388e-4
4709,1023,2024,1815,1.0427502635033992e-5,2.217655964380238e-5,1.81898122239126e-5
4708,743,684,641,7.573445217820388e-6,7.4944499982019895e-6,6.4240604052495735e-6
4707,822,780,262,8.378697131962798e-6,8.546302629528585e-6,2.6257469987135542e-6
4550,748,576,525,7.6244105288420595e-6,6.31111578795957e-6,5.261515932536702e-6
4546,5142,7013,6002,5.241272585468699e-5,7.684002607805636e-5,6.01516545277815e-5
4541,32858,39224,43462,3.349236379100166e-4,4.2976945428285795e-4,4.355733437331622e-4
3772,14480,6755,15067,1.475955407187607e-4,7.401317213136614e-5,1.5100049629624858e-4
3365,1551,1592,1316,1.5809439478922506e-5,1.74432228028327e-5,1.3188866604225334e-5
3246,476,496,440,4.8518976092631284e-6,5.434571928520741e-6,4.409651448221236e-6
3229,1798,1491,1766,1.832712584339308e-5,1.633658618029118e-5,1.7698737403542507e-5
3204,1034,482,1934,1.053962631928167e-5,5.281176753118946e-6,1.938242250195425e-5
3194,3344,3509,3303,3.4085600011293915e-5,3.8447405034635646e-5,3.3102451666988054e-5
3182,13328,14553,11729,1.358531330593676e-4,1.59454284830166e-4,1.1754727690042473e-4
3178,7314,5344,4798,7.45520569625011e-5,5.8553129810513785e-5,4.808524465583066e-5
3175,7185,7308,8644,7.323715193814198e-5,8.007228155973705e-5,8.662960708732811e-5
3166,8684,9760,1345,8.85165521824391e-5,1.0693835085153715e-4,1.3479502722403553e-5
3161,19011,106045,61573,1.9378030556659945e-4,0.001161913669677383,6.17080610503014e-4
2821,2065,2043,2073,2.1048673451950336e-5,2.23847388104191e-5,2.0775471482187778e-5
2394,1847,1886,2519,1.882658589140546e-5,2.0664521486270396e-5,2.524525454106658e-5
2018,7685,9367,6426,7.833368304030912e-5,1.026323291420439e-4,6.440095501424923e-5
2017,4148,4690,4029,4.228082202357869e-5,5.138738375960136e-5,4.0378376556553095e-5
1981,22069,20069,20222,2.2495068978745377e-4,2.1989198393847329e-4,2.026635717862042e-4
1970,379593,395468,363051,0.0038692150613298714,0.004333063087556936,0.003638473563473109
1967,7404,6810,6126,7.546943256089119e-5,7.461579603473034e-5,6.139437448137113e-5
1846,6709,7571,6669,6.838525432887884e-5,8.29539194976422e-5,6.683628524588051e-5
1771,1139,875,1120,1.1609897850736772e-5,9.587198462612194e-6,1.1224567322744965e-5
1753,4980,5647,267,5.076144977758484e-5,6.187303967813836e-5,2.675856674261523e-6
1746,1998,2059,1930,2.036573828425994e-5,2.2560047582306867e-005,1.9342334761515877e-5
1744,23873,22391,21497,2.4333897400407285e-4,2.453336694586853e-4,2.1544153905093618e-4
1717,1376,1710,1491,1.4025653593164002e-5,1.8736124995504972e-5,1.4942705248404235e-5
1715,7205,6375,4848,7.3441013182228655e-005,6.98495887990317e-5,4.858634141131035e-5
1704,4503,4083,5516,4.589935910611737e-5,4.4736607226109245e-5,5.528099406451895e-5
1684,4239,3941,3428,4.320839068417311e-5,4.3180741875605324e-5,3.435519355568727e-5
892,4665,9940,4986,4.755063518321953e-5,1.0891057453527453e-4,4.9969368456434284e-5
592,1356,1720,3169,1.3821792349077316e-5,1.8845692977934828e-5,3.175951236230249e-5
309,2653,2300,2645,2.704219402809891e-5,2.5200635958866338e-5,2.6508018364875387e-5
303,2452,3426,4482,2.4993388525027715e-5,3.753799078046786e-5,4.4918313161199046e-5
168,1779,1534,5682,1.8133457661510727e-5,1.680772850473955e-5,5.694463529271151e-5
136,204,228,259,2.079384689684198e-6,2.498149999400663e-6,2.595681193384773e-6
134,16206,6575,18305,1.6518876608344172e-4,7.204094844762878e-5,1.8345152218111302e-4
68,567688,233241,611760,0.005786479096654132,0.0025555745789921495,0.006131019022645053
