BinBase name,F_SACT_1_001,F_SACT_2_002,F_SACT_3_003,normF_SACT_1_001,normF_SACT_2_002,normF_SACT_3_003
glyceric acid,109765,107047,109426,0.001118841472858755,0.0011728923815168544,0.0010966602713024024
glutaric acid,1907,2048,1312,1.943816962366552e-5,2.2439522801634025e-5,1.3148778863786959e-5
glutamine,4969,5546,4405,5.064932609333716e-5,6.076640305559683e-5,4.4146624157760334e-5
glutamic acid,20228,56739,19621,2.061852622692743e-4,6.216777755087466e-4,1.9664038878533836e-4
glucose,3514403,2984825,3603040,0.03582252839009909,0.03270412531561879,0.036109433077270554
gluconic acid lactone,2580676,5344471,5545729,0.026304990997232634,0.058558290462486236,0.05557893617339207
gluconic acid,709933,793005,725746,0.007236391229909665,0.008688795790678609,0.007273379318047203
glucoheptulose,28517,2941,4039,2.9067555488100134e-4,3.222394363261996e-5,4.047859590764903e-5
galacturonic acid,3249485,2713107,3576751,0.03312220273705126,0.029726966010631295,0.035845966425174444
galactonic acid,582900,639112,600520,0.005941535958906466,0.007002621238670862,0.00601837247201322
galactinol,15486,17874,15030,1.5784976129632104e-4,1.958418117951204e-4,1.506296846971936e-4
fumaric acid,1696,3511,2749,1.728743349855098e-5,3.846931863112162e-5,2.7550299616273132e-5
fucose,155043,164428,161670,0.0015803629433466036,0.0018016044214975975,0.0016202462491680166
fructose,6012273,6330282,5922875,0.06128347267843962,0.06935962269520188,0.059358668912234895
flavin adenine,36520,38191,34771,3.722506317022888e-4,4.1845108169785407e-4,3.484727056956832e-4
ethanolamine,30482,323399,360985,3.1070492211251826e-4,0.003543417594983224,0.0036177682455366886
ethanol phosphate NIST,1018,936,744,1.0376537324012321e-5,1.0255563155434301e-5,7.456319721537727e-6
erythrose major,2345,2176,2342,2.3902730869163942e-5,2.3841992976736153e-5,2.347137202666849e-5
erythronic acid lactone,7557,7531,7246,7.702897107815434e-5,8.251564756792278e-5,7.261894180411609e-5
erythritol,39599,40949,37328,4.036350702294341e-4,4.486699312520077e-4,3.7409879377091435e-4
dihydroxyacetone,37824,49692,60027,3.855423848167407e-4,5.444652182904288e-4,6.015866988235822e-4
digitoxose,24455,23644,22752,2.492713362069954e-4,2.5906253765714597e-4,2.280190676134763e-4
digalacturonic acid,71644,111470,96423,7.302717485673268e-4,0.0012213543001455785,9.663450490723552e-4
dehydroascorbic acid,84388,34294,28871,8.601721332993633e-4,3.757524389449401e-4,2.8934328854908026e-4
dehydroabietic acid,5078,2109,4146,5.17603698736096e-5,2.3107887494456134e-5,4.1550942964375556e-5
conduritol-beta-epoxide,76437,72715,62444,7.791270957127012e-4,7.967235842386808e-4,6.258097159834702e-4
citric acid,4370139,3378055,5590254,0.04454509866858731,0.03701266708870793,0.05602516283414673
citramalic acid,9872,9892,7124,1.0062591008118825e-4,1.0838464821961123e-4,7.139626572074565e-5
cis-p-coumaric acid HMDB,4359,3813,3414,4.4431558148693234e-5,4.177827170050319e-5,3.421488646415296e-5
cinnamic acid,9545,6560,9951,9.729277874037094e-5,7.187659647398399e-5,9.97282762755671e-5
chlorogenic acid,204,125,330,2.079384689684198e-6,1.3695997803731706e-6,3.3072385861659273e-6
cerotinic acid,889,792,255,9.061632299653196e-6,8.677784208444408e-6,2.5555934529463985e-6
cellobiose,31183,38139,30164,3.178502587177566e-4,4.178813281892188e-4,3.0230165064578496e-4
catechin,40092,32424,36505,4.086602498961709e-4,3.552632262305575e-4,3.658507411757187e-4
caproic acid HMDB,9065,3806,11202,9.240010888229047e-5,4.17015741128023e-5,1.1226571709766884e-4
campesterol HMDB,1232,690,1345,1.2557852635739863e-5,7.560190787659902e-6,1.3479502722403553e-5
beta-sitosterol,37509,19816,36476,3.823315702223754e-4,2.1711991398299797e-4,3.655601050575405e-4
beta-mannosylglycerate,16955,19475,13869,1.7282336967448813e-4,2.1338364578214e-4,1.3899421803495528e-4
beta-gentiobiose,5418,4955,3822,5.522601102308326e-5,5.429093529399248e-5,3.830383598886719e-5
beta-alanine,4872,6567,7048,4.966059905951673e-5,7.19532940616849e-5,7.063459865241653e-5
benzoic acid,41223,6662,36836,4.20188603249273e-4,7.29941898947685e-5,3.6916800169699423e-4
aspartic acid,92826,157518,68732,9.461811921795361e-4,0.0017258929456385687,6.888276439525955e-4
asparagine,96474,124330,77429,9.833654831009476e-4,0.0013622587255503703,7.75988413600732e-4
