BinBase name,F_SAT_4_004,F_SAT_5_005,F_SAT_6_006,normF_SAT_4_004,normF_SAT_5_005,normF_SAT_6_006
16857,2554,7029,7518,2.4793636178376873e-5,6.628831745783614e-5,6.229537578641387e-5
16852,42437,34541,39894,4.119684958894986e-4,3.257454507484874e-4,3.3056819920500064e-4
16817,1509,2084,2915,1.4649019966002625e-5,1.965355720331918e-5,2.4154166057115777e-5
16810,1024,6263,7223,9.940753111455724e-6,5.906440919596355e-5,5.985095760910712e-5
16794,53048,28588,42873,5.149776084536165e-4,2.696045553399658e-4,3.552526797141423e-4
16793,5506,3761,4550,5.345096350749533e-5,3.546882372441624e-5,3.7702043073714164e-5
16747,19277,22794,24027,1.8713661887649608e-4,2.1496313958371276e-4,1.990916459191495e-4
16688,1417,1004,1293,1.3755905428645274e-5,9.468412395457034e-6,1.0714009163585146e-5
16594,125086,95542,102917,0.0012143057067378425,9.010269492895974e-4,8.527870696741627e-4
16549,4450,1797,1763,4.319956186130661e-5,1.6946949277526184e-5,1.4608505920650125e-5
14835,1611,1282,1378,1.5639212170464036e-5,1.2090144114517845e-5,1.1418333045182004e-5
14816,3018,2184,2973,2.929803993200525e-5,2.059662616701012e-5,2.4634763529264223e-5
14796,6532,4870,5645,6.341113215237187e-5,4.592745853174875e-5,4.6775391901344274e-5
14778,29134,22541,25838,2.8282607534096786e-4,2.125771751055747e-4,2.1409788767881902e-4
14740,1426,748,956,1.3843275329038929e-5,7.054155848408228e-6,7.921572127136427e-6
14739,1054,719,838,1.0231986112767903e-5,6.780665848937855e-6,6.9438048562137294e-6
14729,2070,1193,1781,2.009507709054038e-5,1.1250812736832909e-5,1.4757656860282402e-5
14719,731,768,753,7.096377465306772e-6,7.242769641146415e-6,6.239480974616872e-6
14712,2894,2641,3161,2.8094276859914906e-5,2.4906451331077714e-5,2.6192562232090216e-5
14709,4277,3335,3608,4.152011822040638e-5,3.1451349939092834e-5,2.9896477232958395e-5
14703,14705,13514,19144,1.4275270947651994e-4,1.2744633975319357e-4,1.5863031046223824e-4
14702,4077,4716,4732,3.957856487832518e-5,4.447513232766471e-5,3.921012479666273e-5
14696,9159,7667,5565,8.891343530060838e-5,7.230509744618433e-5,4.611249883631194e-5
14694,10728,7396,8124,1.0414492126923536e-4,6.974938055458189e-5,6.731679075403382e-5
14689,42380,43193,45997,4.1141515318700544e-4,4.073397774870275e-4,3.81138653903655e-4
13146,1455,1210,1183,1.4124800563640701e-5,1.1411134460660369e-5,9.802531199165682e-6
13139,1145,5184,1033,1.1115392883414847e-5,4.8888695077738303e-5,8.559606702230051e-6
10176,7518,668,7272,7.298299012883215e-5,6.2997006774554765e-6,6.025697961143943e-5
6485,10599,8198,9283,1.0289261936359298e-4,7.731279364338323e-5,7.69204540336898e-5
6435,6343,4878,5208,6.157636424410513e-5,4.600290404884403e-5,4.3154338533605134e-5
6422,2429,1944,2560,2.3580165339576128e-5,1.8333260654151866e-5,2.1212578081034782e-5
6404,35903,23868,26836,3.4853794820370593e-4,2.2509170025375346e-4,2.2236747866509742e-4
5837,50398,34994,132788,4.892520266710406e-4,3.300175531540074e-4,0.0011003030539939245
5244,144344,285499,623954,0.001401257878046841,0.0026924524606479956,0.005170184743739835
4983,574,706,1479,5.5722580917730325e-6,6.658066883658033e-6,1.225523553978533e-5
4862,52990,207158,230795,5.144145579844129e-4,0.0019536428038028765,0.0019124050618017276
4852,28533,12784,6885,2.7699170754801386e-4,1.2056193631824971e-4,5.70502344093455e-5
4850,7412,4417,6280,7.195396685752913e-5,4.16553561262288e-5,5.203710560503845e-5
4849,17554,10884,11932,1.7041013683446657e-4,1.0264362600812186e-4,9.887050064957306e-5
4801,14819,13114,14963,1.4385939488150622e-4,1.236740638984298e-4,1.2398586165098574e-4
4795,3318,9116,9900,3.221036994512704e-5,8.597016673006605e-5,8.20330167977517e-5
4766,149644,140855,185651,0.0014527090416119924,0.001328359788806873,0.00153833450520398
4755,2999,3099,3475,2.9113592364507534e-5,2.9225707184782216e-5,2.8794417512342135e-5
4744,68186,41890,48833,6.619337809157422e-4,3.9505158889013457e-4,4.046382130590514e-4
4735,27945,22037,25451,2.712835407222951e-4,2.0782410752857234e-4,2.108911424767251e-4
4732,4823,4198,3760,4.682055884428804e-5,3.9590035095745644e-5,3.115597405651984e-5
4729,820,734,844,7.960368702532904e-6,6.922126193491497e-6,6.993521836091155e-6
4723,418,539,847,4.0578464849497e-6,5.083141714294164e-6,7.018380326029868e-6
4721,552,736,801,5.358687224144101e-6,6.940987572765315e-6,6.637216813636274e-6
4716,14559,11588,13177,1.4133537553680066e-4,1.0928283151250608e-4,1.091867739741388e-4
4713,32533,25571,26678,3.1582277438963775e-4,2.4115216470541016e-4,2.2105826486165856e-4
4709,2569,2223,1742,2.4939252679032963e-5,2.0964423062849585e-5,1.4434496491079138e-5
4708,1637,1244,1217,1.589161410493459e-5,1.1731777908315288e-5,1.0084260751804426e-5
4707,228,761,886,2.2133708099725634e-6,7.17675481368805e-6,7.341540695233132e-6
4550,590,309,531,5.7275823591395284e-6,2.9140830978050033e-6,4.399952719152137e-6
4546,6986,4004,3952,6.781845823889618e-5,3.776048130618522e-5,3.274691741259744e-5
4541,53048,37644,42873,5.149776084536165e-4,3.550088806918173e-4,3.552526797141423e-4
3772,15156,9956,11194,1.4713091226291303e-4,9.389194602506994e-5,9.275531212464975e-5
3365,650,1581,1635,6.3100483617638875e-6,1.4909920315953754e-5,1.3547877016598386e-5
3246,3859,3725,4031,3.746227173545668e-5,3.51293188974875e-5,3.340152431431688e-5
3229,7327,5823,6213,7.112880668714461e-5,5.491490575572341e-5,5.148193266307387e-5
3204,1635,3851,4541,1.5872198571513778e-5,3.631758579173808e-5,3.762746760389803e-5
3194,7744,5898,6944,7.517694540538392e-5,5.562220747849161e-5,5.7539118044806846e-5
3182,15482,12617,13578,1.5029564421050539e-4,1.1898701114888584e-4,1.1250952546261339e-4
3178,6994,7143,5774,6.789612037257943e-5,6.736341607644382e-5,4.784430696870892e-5
3175,10999,9127,10574,1.0677572604775537e-4,8.607390431607206e-5,8.761789087064914e-5
3166,2313,1246,1364,2.245406440116903e-5,1.1750639287589106e-5,1.1302326758801345e-5
3161,12242,23868,26836,1.1884248006879002e-4,2.2509170025375346e-4,2.2236747866509742e-4
2821,1827,1364,1525,1.7736089779911727e-5,1.2863460664744415e-5,1.2636399052178924e-5
2394,3935,1915,2974,3.820006200544753e-5,1.8059770654681493e-5,2.4643049692577128e-5
2018,14050,5524,8563,1.36394122281204e-4,5.20951295542875e-5,7.095441644839877e-5
2017,8866,5991,7339,8.606905965445942e-5,5.649926161472419e-5,6.081215255340401e-5
1981,15667,12911,14073,1.520915810519305e-4,1.217596339021372e-4,1.1661117630250097e-4
1970,486649,343849,390894,0.00472427496185236,0.0032427332009616586,0.0032390115220343792
1967,13462,7592,9370,1.306859554554853e-4,7.159779572341613e-5,7.764135024191247e-5
1846,14117,10054,11810,1.3704454265080123e-4,9.481615360948706e-5,9.785958872539874e-5
1771,2214,1198,1350,2.149299549683884e-5,1.1297966185017455e-5,1.1186320472420686e-5
1753,11669,8198,9896,1.1327992974372738e-4,7.731279364338323e-5,8.199987214450008e-5
1746,1127,685,835,1.094065308262754e-5,6.4600224012829355e-6,6.918946366275017e-6
1744,15463,18510,17170,1.5011119664300768e-4,1.7456206517919292e-4,1.4227342408256531e-4
1717,785,410,507,7.6205968676686945e-6,3.866582751132852e-6,4.2010847996424354e-6
1715,6933,6880,6325,6.730394660324466e-5,6.488314470193664e-5,5.240998295411914e-5
1704,4423,7377,11937,4.293745216012565e-5,6.957019745148061e-5,9.891193146613758e-5
1684,6167,4610,4028,5.986779730307368e-5,4.347547922615231e-5,3.337666582437816e-5
892,2588,5800,9478,2.512370024653068e-5,5.4697999894074495e-5,7.853625587970612e-5
592,2018,3417,3937,1.959027322159927e-5,3.2224666489319404e-5,3.2622624962903884e-5
309,3090,2144,2466,2.999699913515448e-5,2.0219398581533742e-5,2.0433678729621787e-5
303,4568,3727,4106,4.434507833313452e-5,3.5148180276761316e-5,3.402298656278469e-5
168,2705,915,4770,2.6259508951648177e-5,8.629081017772096e-6,3.952499900255309e-5
136,4245,1937,1445,4.120946968567339e-5,1.82672458266935e-5,1.1973505987146586e-5
134,8114,7105,10537,7.876881908823413e-5,6.700504987024125e-5,8.731130282807168e-5
68,195086,551283,816764,0.0018938493764662611,0.005198978875104322,0.006767839892100896
