BinBase name,F_SAT_4_004,F_SAT_5_005,F_SAT_6_006,normF_SAT_4_004,normF_SAT_5_005,normF_SAT_6_006
glyceric acid,88217,73301,81806,8.563900558918844e-4,6.912789810750957e-4,6.77857875975442e-4
glutaric acid,1475,726,1330,1.431895589784882e-5,6.8466806763962215e-6,1.1020597206162603e-5
glutamine,120307,75921,92696,0.0011679122896288124,7.159873879237982e-4,7.680941944529688e-4
glutamic acid,89754,26580,29356,8.713108933257784e-4,2.5066773054905174e-4,2.4324861021361605e-4
glucose,2166536,3395458,3351698,0.02103222605769613,0.032021510573161105,0.02777271700353442
gluconic acid lactone,4798725,4100222,6283839,0.046584902807392935,0.03866792112442791,0.05206891618599669
gluconic acid,1115846,778081,818268,0.010832372652739671,0.0073378404233761,0.006780302281723504
glucoheptulose,4190,15649,2338,4.067554251660106e-5,1.4758086212799513e-4,1.9373049825570047e-5
galacturonic acid,4702692,3285642,6534647,0.04565263684689252,0.03098586995999426,0.05414715223417957
galactonic acid,866882,635697,678318,0.008415488221450157,0.005995061110114392,0.005620653726082559
galactinol,15770,19287,17384,1.5309148102310232e-4,1.8188971102707152e-4,1.440466630315268e-4
fumaric acid,1690,1379,1468,1.6406125740586107e-5,1.3004921009298056e-5,1.2164087743343384e-5
fucose,111363,87342,112249,0.0010810860241709413,8.236952942669404e-4,9.301135457101849e-4
fructose,4351518,5785090,6879198,0.042243521580132413,0.05455738831158818,0.05700215808980403
flavin adenine,1871,1756,1998,1.816323151516959e-5,1.65602910024129e-5,1.6555754299182617e-5
ethanolamine,450543,354195,428306,0.004373766337006441,0.0033403031159451235,0.0035490134638967515
ethanol phosphate NIST,1525,1421,1280,1.480434423336912e-5,1.340100997404825e-5,1.0606289040517391e-5
erythrose major,2382,1455,2120,2.3123900304187045e-5,1.372165342170317e-5,1.756666622335693e-5
erythronic acid lactone,2516,1823,2011,2.4424741043381445e-5,1.7192147208085827e-5,1.666347442225037e-5
erythritol,51850,40473,42886,5.033477039345501e-4,3.81688301674634e-4,3.5536039983721004e-4
dihydroxyacetone,87851,46263,92967,8.528370132758758e-4,4.3629199467233934e-4,7.703397447107659e-4
digitoxose,28258,25558,25092,2.743220717026522e-4,2.4102956574013033e-4,2.0791640984739248e-4
digalacturonic acid,75546,88837,82314,7.333829439043302e-4,8.3779417527412e-4,6.820672469383973e-4
dehydroascorbic acid,26458,68243,15622,2.5684809162392145e-4,6.435785528916078e-4,1.294464432741896e-4
dehydroabietic acid,2143,1238,3138,2.0803744060400014e-5,1.1675193770493831e-5,2.6001980475893418e-5
conduritol-beta-epoxide,107227,79078,90418,0.0010409347010567021,7.457600751075212e-4,7.49218314426173e-4
citric acid,5764814,4845782,693665,0.05596346944088234,0.04569906609012209,0.0057478214744457
citramalic acid,13678,10506,11464,1.32782833064933e-4,9.907882532537011e-5,9.499257621913389e-5
cis-p-coumaric acid HMDB,1628,976,2003,1.5804244204540937e-5,9.20435308562357e-6,1.6597185115747137e-5
cinnamic acid,5707,4514,5932,5.540222461628693e-5,4.257013302100901e-5,4.9153520772147785e-5
chlorogenic acid,164,166,349,1.5920737405065808e-6,1.5654944797269597e-6,2.89187099620357e-6
cerotinic acid,802,574,571,7.785628901745596e-6,5.413215851585993e-6,4.731399251668305e-6
cellobiose,46599,36070,47253,4.523722209382083e-4,3.401649752033219e-4,3.9154607502466275e-4
catechin,2688,1142,2458,2.6094476917571276e-5,1.076984756535053e-5,2.0367389423118552e-5
caproic acid HMDB,5027,7343,11858,4.8800943253210864e-5,6.924955400382568e-5,9.825732456441815e-5
campesterol HMDB,1166,882,1159,1.1319255984333373e-5,8.317868259754086e-6,9.603663279655982e-6
beta-sitosterol,36132,28938,29699,3.507610267803889e-4,2.7290529671288407e-4,2.460907642299422e-4
beta-mannosylglycerate,20572,12914,15037,1.9970817676647184e-4,1.2178792597104793e-4,1.2459903773614063e-4
beta-gentiobiose,6300,5303,4392,6.115893027555768e-5,5.001094714453053e-5,3.63928292702753e-5
beta-alanine,7082,6031,7755,6.875040384309516e-5,5.687648920020057e-5,6.425919649157217e-5
benzoic acid,19059,19971,30317,1.8502032573362758e-4,1.8834030273871753e-4,2.51211613157317e-4
aspartic acid,137742,51793,58754,0.0013371672022247406,4.884437083644483e-4,4.8684523928637405e-4
asparagine,162104,92033,106145,0.001573667814823651,8.679346593536824e-4,8.795348048482175e-4
arbutin,889,873,1020,8.630204605550917e-6,8.232992053021903e-6,8.451886579162296e-6
arachidic acid,28309,16374,23560,2.748171678048829e-4,1.5441811211475444e-4,1.9522200765202324e-4
arabitol,435873,319966,461590,0.004231353399364786,0.0030175000403633518,0.0038248101236034553
alpha-ketoglutarate,32664,22645,27492,3.1709449182870095e-4,2.1355796682781327e-4,2.278032017983626e-4
alanine,786677,263790,330120,0.007636876792442045,0.0024877216193203294,0.0027354282328559383
adipic acid,12266,8693,12415,1.1907546646983976e-4,8.198098501365338e-5,1.0287271752970579e-4
adenosine,109,67,294,1.058146571434252e-6,6.318562056729294e-7,2.4361320139938384e-6
adenine,31441,27688,42920,3.052218931418744e-4,2.6111693466674736e-4,3.556421293898488e-4
aconitic acid,11141,9506,13079,1.0815422892063303e-4,8.964813568846072e-5,1.0837472996947419e-4
6-deoxyhexitol NIST,303,2276,2346,2.941453313253012e-6,2.1464249613605786e-5,1.9439339132073282e-5
6-deoxyglucose,441531,320325,346241,0.004286279943412263,0.0030208856579430022,0.0028690094716232674
6-deoxyglucitol,9117,8166,9524,8.850570909877133e-5,7.701101157500212e-5,7.891741939209972e-5
5-methyluridine NIST,103,91,228,9.99899971171816e-7,8.58192756958755e-7,1.8892452353421604e-6
5-hydroxynorvaline NIST,5932,2122,2649,5.758647212612827e-5,2.0011923409521738e-5,2.1950046615883257e-5
5-Hydroxymethyl-2-furancarboxaldehyde HMDB,83,91,177,8.057446369636964e-7,8.58192756958755e-7,1.4666509063840455e-6
5'-deoxy-5'-methylthioadenosine,465,360,434,4.514111520338781e-6,3.3950482692873824e-6,3.596194877800428e-6
4-hydroxymandelic acid,424,428,561,4.116093085212136e-6,4.036335164597222e-6,4.648537618539263e-6
4-hydroxybutyric acid,5801,4672,4989,5.631475468706509e-5,4.4060181983640697e-5,4.1339668768079115e-5
4-hydroxybenzoic acid,33741,24316,37098,3.275497565758082e-4,2.2931664921108886e-4,3.074000865821205e-4
4-aminobutyric acid,99399,71957,84810,9.64942303247644e-4,6.786041342030894e-4,7.027495105674062e-4
3-phenyllactic acid,4695,3494,4093,4.557796470535608e-5,3.295082959136143e-5,3.391526643971694e-5
3-hydroxybutyric acid,24092,88415,113525,2.338795155871009e-4,8.338144242473442e-4,9.406866900974507e-4
3-hydroxy-3-methylglutaric acid,2103,2510,2274,2.0415433391983776e-5,2.367103098864258e-5,1.8842735373544177e-5
3-dehydroshikimic acid,2434,2094,2383,2.3628704173128155e-5,1.9747864099688276e-5,1.9745927174650737e-5
"3,6-anhydro-D-galactose",5525,3988,4343,5.363541107499304e-5,3.760959027199467e-5,3.5986807267942994e-5
"3,4-dihydroxycinnamic acid",8832,5763,5852,8.573899558630561e-5,5.434906437750885e-5,4.849062770711545e-5
"3,4-dihydroxybenzoic acid",55427,39721,53747,5.380723854576723e-4,3.745964230676781e-4,4.4535641957866266e-4
3-(4-hydroxyphenyl)propionic acid,2439,1767,2568,2.3677243006680185e-5,1.6664028588418903e-5,2.1278867387538018e-5
2-monoolein,35226,29281,32626,3.4196579014076104e-4,2.76140023258344e-4,2.7034436424681283e-4
