BinBase name,F_SAC_7_007,F_SAC_8_008,F_SAC_9_009,normF_SAC_7_007,normF_SAC_8_008,normF_SAC_9_009
campesterol HMDB,988,1063,1216,9.756018853881666e-6,1.0245278719193276e-5,1.1717089110447652e-5
beta-sitosterol,33689,32466,45095,3.326624687939468e-4,3.129098954819651e-4,4.345247807858856e-4
beta-mannosylglycerate,16974,15903,18017,1.6760998383176864e-4,1.5327438144057448e-4,1.736075612688613e-4
beta-gentiobiose,4354,4492,5741,4.2993629645547344e-5,4.329425400434261e-5,5.5318921532138136e-5
beta-alanine,6613,5296,5912,6.530015453514115e-5,5.104327008170046e-5,5.6966637188294834e-5
benzoic acid,33691,28725,23148,3.326822178199668e-4,2.768538393309754e-4,2.2304866671763344e-4
aspartic acid,83152,141484,177029,8.210855058076602e-4,0.0013636340680210173,0.0017058096777413138
asparagine,98474,115171,130502,9.723827941469062e-4,0.0011100272769221154,0.0012574864828056246
arbutin,1041,939,931,1.0279368043411756e-5,9.050156836615697e-6,8.970896350186483e-6
arachidic acid,22682,20858,28745,2.2397370409285827e-4,2.010310663451866e-4,2.7698003822353433e-4
arabitol,501374,332963,392539,0.004950824085876586,0.003209123930553858,0.0037824131927023117
alpha-ketoglutarate,26193,24410,26678,2.586431192709742e-4,2.352655254332153e-4,2.5706291388858754e-4
alanine,318168,573020,622657,0.003141754055366217,0.005522812428666163,0.005999775949213819
adipic acid,10599,11535,11025,1.0465996339300788e-4,1.1117524931880945e-4,1.0623429888378731e-4
adenosine,2767,1452,2733,2.732277749867467e-5,1.399449172179552e-5,2.6334543206293944e-5
adenine,48935,49066,57898,4.8320929414443257e-4,4.7290201847218936e-4,5.578914681880742e-4
aconitic acid,20314,14158,18020,2.0059085728517428e-4,1.3645593236720453e-4,1.7363646856107459e-4
6-deoxyhexitol NIST,6846,5915,288,6.760091606647154e-5,5.700924141489015e-5,2.775100052474444e-6
6-deoxyglucose,726591,619551,707140,0.007174732282450136,0.0059712819151033995,0.006813834205231869
6-deoxyglucitol,50953,4646,9335,5.03136061398616e-4,4.4778518277866374e-5,8.994985760364213e-5
5-methyluridine NIST,153,191,186,1.5108004905302582e-6,1.8408732223573995e-6,1.7922521172230784e-6
