BinBase name,F_PF_13_013,F_PF_14_014,F_PF_15_015,normF_PF_13_013,normF_PF_14_014,normF_PF_15_015
14729,1560,2372,2339,2.248365946001485e-5,3.4986716773781035e-5,3.09313686355684e-5
14719,88,675,221,1.268308995180325e-6,9.956169402319645e-6,2.9225448774949193e-6
14712,11191,16155,16881,1.6129143142117064e-4,2.382843210288502e-4,2.232374664117273e-4
14709,3345,5160,5143,4.8210154419070305e-5,7.610938387551018e-5,6.801198328034557e-5
14703,19634,25553,13010,2.8297703194739206e-4,3.769036988703317e-4,1.7204664640818506e-4
14702,10390,14655,15090,1.497469370445861e-4,2.1615950013480654e-4,1.9955295113754901e-4
14696,5547,12806,10383,7.994670450301434e-5,1.8888697091274873e-4,1.3730671250239705e-4
14694,2642,2769,3767,3.8078095059845666e-5,4.084241937040459e-5,4.9815504767074035e-5
14689,8606,19034,7874,1.240348546877486e-4,2.8074922726481797e-4,1.0412723242260178e-4
13146,83,59,128,1.1962459840905337e-6,8.702429551657172e-7,1.692695675653166e-6
13139,2352,4057,3617,3.389844041663778e-5,5.984026557809008e-5,4.783187702216798e-5
10176,906,1888,1819,1.3057817609470164e-5,2.7847774565302952e-5,2.4054792453227415e-5
6485,6063,8241,8796,8.73836072474808e-5,1.2155376599187585e-4,1.16319930961291e-4
6435,1905,3094,2913,2.7456007225210443e-5,4.563613056411405e-5,3.852205080607557e-5
6422,619,875,788,8.921400772916149e-6,1.2906145521525466e-5,1.0420657753239802e-5
6404,3448,16510,17728,4.9694652447520004e-5,2.4352052864044053e-4,2.3443835107796347e-4
5837,9173,38855,38540,1.322068001453309e-4,5.731066105587109e-4,5.096600885911955e-4
5244,104778,154882,116647,0.0015101236351932282,0.0022844910064741797,0.0015425615037337097
4983,561,437,601,8.085469844274572e-6,6.445697820464719e-6,7.947735164590256e-6
4862,55837,89541,93138,8.047564700441342e-4,0.0013207190584490422,0.001231674139367067
4852,1940,1394,1455,2.796044830283898e-5,2.0561333550864573e-5,1.9241189125588723e-5
4850,5799,4739,4098,8.357868026193981e-5,6.989968414458193e-5,5.419270999083339e-5
4849,467,1286,4573,6.730685235786497e-6,1.896834644649343e-5,6.047419784970256e-5
4801,1148,1463,1284,1.6545667346216057e-5,2.157907531199058e-5,1.697985349639582e-5
4795,1619,1805,2941,2.3334002990874388e-5,2.6623534475832535e-5,3.8892327985124696e-5
4766,52183,17622,15548,7.520928215397147e-4,2.599223958632249e-4,2.056096278519955e-4
4755,1737,2712,2499,2.503469005259346e-5,4.000167617643093e-5,3.3047238230134855e-5
4744,2592,2359,2836,3.735746494894775e-5,3.479496832603266e-5,3.750378856369046e-5
4735,4276,5305,5124,6.162828708398942e-5,7.824811656193441e-5,6.77607237659908e-5
4732,1022,1146,1341,1.472967946675332e-5,1.6903363163049353e-5,1.773363203946012e-5
4729,22677,36013,35551,3.2683458049663895e-4,5.311874499047962e-4,4.701329997277008e-4
4723,345,528,339,4.972347765195592e-6,7.787936954703368e-6,4.482998703487682e-6
4721,151,135,121,2.176302934911694e-6,1.991233880463929e-6,1.6001263808908835e-6
4716,6783,6743,9084,9.776068084441073e-5,9.945844485902426e-5,1.2012849623151062e-4
4713,5819,10692,9197,8.386693230629899e-5,1.5770572333274318e-4,1.2162282913267319e-4
4709,932,1145,1281,1.3432545267137078e-5,1.6888613282453326e-5,1.69401809414977e-5
4708,58,105,99,8.359309286415778e-7,1.548737462583056e-6,1.3091943116379955e-6
4707,517,688,444,7.451315346684409e-6,1.0147917850068024e-5,5.871538124921919e-6
4550,209,190,145,3.0122338635532716e-6,2.80247731324553e-6,1.9175068200758523e-6
4546,2548,1505,1959,3.672331045135759e-5,2.2198570297023805e-5,2.5906178348473064e-5
4541,17138,75803,63452,2.4700317681136826e-4,0.0011180851988207942,8.391009844651929e-4
3772,1418,1864,1612,2.0437069945064783e-5,2.7493777430998253e-5,2.131738616525706e-5
3365,303,1136,807,4.367018472041346e-6,1.6755864357089065e-5,1.067191726759457e-5
3246,196,166,307,2.8248700347198147e-6,2.4484801789408315e-6,4.059824784574391e-6
3229,2701,3960,3941,3.89284385907052e-5,5.840952716027525e-5,5.211651295116506e-5
3204,1961,1508,3570,2.8263112949416103e-5,2.224281993881189e-5,4.721034032876408e-5
3194,51909,4425,3956,7.481437685319942e-4,6.526822163742879e-5,5.231487572565566e-5
3182,1016,10316,10045,1.464320385344557e-5,1.5215976822863624e-4,1.328369379838754e-4
3178,3825,4374,3870,5.512820348369026e-5,6.451597772703131e-5,5.117759581857619e-5
3175,13711,19116,19940,1.976111890104254e-4,2.819587174736924e-4,2.6369024822284475e-4
3166,2117,2868,2831,3.051147889541759e-5,4.2302657549411475e-5,3.7437667638860254e-5
3161,11047,16934,17505,1.5921601670178465e-4,2.4977447801315686e-4,2.3148935783053647e-4
2821,610,711,760,8.791687352954525e-6,1.0487165103776694e-5,1.0050380574190673e-5
2394,4231,5956,6662,6.0979719984181304e-5,8.785028882994935e-5,8.809952024376087e-5
2018,480,831,778,6.918049064619954e-6,1.2257150775300187e-5,1.0288415903579399e-5
2017,338,279,431,4.871459549669884e-6,4.11521668629212e-6,5.699623720363395e-6
1981,1371,2250,1635,1.9759677640820744e-5,3.3187231341065485e-5,2.162154241947599e-5
1970,3443,3878,2567,4.9622589436430214e-5,5.720003695140087e-5,3.39464828078256e-5
1967,901,958,1309,1.2985754598380372e-5,1.4130385610995883e-5,1.731045812054683e-5
1846,278,263,206,4.00670341659239e-6,3.879218596755654e-6,2.724182103004314e-6
1771,243,258,298,3.502262338963852e-6,3.8054691937755093e-6,3.940807119880027e-6
1753,7820,631,6785,1.1270654934443342e-4,9.307174656094365e-6,8.972609499458384e-5
1746,93,186,121,1.340372006270116e-6,2.7434777908614136e-6,1.6001263808908835e-6
1744,8818,10416,11617,1.2709032635795575e-4,1.5363475628823916e-4,1.5362535675049086e-4
1717,217,198,194,3.1275346812969376e-6,2.920476358013763e-6,2.5654918834118297e-6
1715,3977,5531,5391,5.731891902081991e-5,8.158158957663699e-5,7.129158115192357e-5
1704,29264,15835,27098,4.2177039130632986e-4,2.3356435923812087e-4,3.5834896420976165e-4
1684,6221,6301,6418,8.966079839791819e-5,9.29389976355794e-5,8.487281911204703e-5
892,2539,4239,5589,3.659359703139597e-5,6.252474384656738e-5,7.390996977519957e-5
592,3055,912,1343,4.4030499775862415e-5,1.3451891103578544e-5,1.77600804093922e-5
309,185,298,633,2.666331410322274e-6,4.3954644176166735e-6,8.370909083503548e-6
303,186,187,183,2.680744012540232e-6,2.7582276714574425e-6,2.4200258487853858e-6
168,1271,4275,2538,1.831841741902492e-5,6.305573954802442e-5,3.356298144381043e-5
136,57,201,255,8.215183264236196e-7,2.9647259998018502e-6,3.3721671663402915e-6
134,1003,3897,2341,1.4455840024612112e-5,5.7480284682725424e-5,3.095781700550048e-5
68,142803,210051,156364,0.00205816283453109,0.0030982271690765096,0.0020677864580299346
