BinBase name,F_SF_10_010,F_SF_11_011,F_SF_12_012,normF_SF_10_010,normF_SF_11_011,normF_SF_12_012
3-hydroxybutyric acid,31097,91679,15274,3.0594108725935263e-4,0.0010873803496438013,1.5724711590165628e-4
3-hydroxy-3-methylglutaric acid,2433,2414,1881,2.393654260224475e-5,2.863181496351549e-5,1.9365053359369876e-5
3-dehydroshikimic acid,2008,1946,1641,1.9755272316197064e-5,2.308099085294165e-5,1.6894233154027627e-5
"3,6-anhydro-D-galactose",3811,3741,3265,3.749369661206525e-5,4.4371010678753704e-5,3.361344987684351e-5
"3,4-dihydroxycinnamic acid",6999,6368,4476,6.885814289893589e-5,7.552916225669703e-5,4.608079682963294e-5
"3,4-dihydroxybenzoic acid",45922,41672,31359,4.5179363311972193e-4,4.942605605466518e-4,3.228435450805316e-4
3-(4-hydroxyphenyl)propionic acid,2737,2151,1946,2.6927380642147093e-5,2.5512441585137453e-5,2.003423383165007e-5
2-monoolein,31118,28084,22476,3.061476912028985e-4,3.330968895755464e-4,2.3139231223030161e-4
2-isopropylmalic acid,12230,12685,11557,1.203222014079134e-4,1.5045342701416485e-4,1.1898028797141821e-4
2-hydroxyglutaric acid,20358,18644,16826,2.0028776584319713e-4,2.2113154854174928e-4,1.732250865628695e-4
2-deoxytetronic acid,1096,1063,524,1.078275819649003e-5,1.2607961601581178e-5,5.394624114997243e-6
2-deoxyerythritol,42605,30928,57671,4.19160048322498e-4,3.668288207090336e-4,5.937278002595535e-4
"2,3-dihydroxypyridine",1362,2568,1544,1.3399741481404583e-5,3.0458368196482095e-5,1.58956099877018e-5
"2,3-dihydroxybutanoic acid NIST",989,646,948,9.730061912708614e-6,7.662034990236539e-6,9.759739811101883e-6
1-monostearin,1290,3574,3757,1.2691385103532975e-5,4.239026788716005e-5,3.8678631297795125e-5
1-monopalmitin,885,724,808,8.70688047800518e-6,8.587172341998846e-6,8.318428024652238e-6
1-methylinosine NIST,1833,2082,1780,1.803357278664802e-5,2.4694050850886183e-5,1.8325249856288347e-5
1-methyladenosine,5172,5500,5014,5.0883599810443834e-5,6.523404403452161e-5,5.161955212327515e-5
1-kestose,608,612,431,5.981676079804689e-6,7.258769990750406e-6,4.437181285427122e-6
1-deoxyerythritol,45229,44410,17830,4.449757029827077e-4,5.267352537405645e-4,1.8356135108855124e-4
519282,3577,3833,3457,3.519153838398252e-5,4.546219832442206e-5,3.559010604111731e-5
519270,10752,8447,11782,1.0578121909549344e-4,1.001876309017462e-4,1.2129668191392657e-4
519264,6639,19850,5905,6.531636100957785e-5,2.35435595288228e-4,6.079247213560825e-5
519261,30118,33032,28316,2.96309408176904e-4,3.917838077360578e-4,2.9151560389362966e-4
519249,28725,31359,24968,2.8260467992169354e-4,3.7194079761428427e-4,2.570476620291053e-4
519244,100886,108339,75773,9.925450213604866e-4,0.0012849801993920068,7.800894142474926e-4
513995,19282,22127,18329,1.89701773307227e-4,2.6244248951851995e-4,1.8869859809882532e-4
513551,172,220,224,1.6921846804710634e-6,2.6093617613808646e-6,2.3060988583194323e-6
511927,787,724,838,7.742728741457713e-6,8.587172341998846e-6,8.62728055032002e-6
509528,7901,76857,61064,7.773227418838297e-5,9.115805313384051e-4,6.286590209125796e-4
486482,1620,1205,1028,1.5938018502111178e-5,1.4292186011199736e-5,1.0583346546215965e-5
486432,3573,2982,2609,3.515218525187854e-5,3.536871260198972e-5,2.685987464890803e-5
