BinBase name,F_PAT_19_019,F_PAT_20_020,F_PAT_21_021,normF_PAT_19_019,normF_PAT_20_020,normF_PAT_21_021
384976,1995,1309,1511,2.845867150413679e-5,1.8700947870900656e-5,2.019877951782265e-5
384941,304,133,267,4.336559467297035e-6,1.9000963077385694e-6,3.569208558079846e-6
384919,73,146,112,1.041344872081196e-6,2.0858200069912114e-6,1.4971960992694486e-6
384908,3744,2625,3657,5.340815343934243e-5,3.750190081062966e-5,4.8886126205610476e-5
384907,369,276,331,5.26378435339673e-6,3.943056999517633e-6,4.424749186233816e-6
384906,10291,6630,10419,1.4680109696695324e-4,9.471908661884748e-5,1.3927934069900343e-4
384897,829,922,1125,1.1825683547333034e-5,1.3172096208533541e-5,1.5038800104269015e-5
384838,551,591,562,7.860014034475877e-6,8.443285096793192e-6,7.512716140977054e-6
382960,6725,4372,6689,9.593211321569921e-5,6.246030870250394e-5,8.941736346440483e-5
382944,669,675,712,9.543283827703014e-6,9.643345922733342e-6,9.517889488212922e-6
382905,235,257,219,3.3522745882065894e-6,3.671614669840694e-6,2.927553086964368e-6
382601,147,162,133,2.0969547424100795e-6,2.314403021456002e-6,1.77792036788247e-6
381214,1756,1345,1520,2.5049336922939452e-5,1.9215259653446434e-5,2.03190899186568e-5
380761,377,239,1069,5.377904339378231e-6,3.414458778567805e-6,1.429020205463429e-5
380017,10805,8123,11263,1.5413330606626468e-4,1.1604873915609322e-4,1.5056178273278393e-4
379842,120,112,69,1.7117997897225139e-6,1.600081101253532e-6,9.223797397284995e-7
379014,938,667,708,1.3380568356330983e-5,9.529054415500946e-6,9.464418198953299e-6
378986,2067,1001,2016,2.94857513779703e-5,1.4300724842453442e-5,2.6949529786850073e-5
378843,105,123,174,1.4978248160071997e-6,1.7572319236980754e-6,2.3260010827936074e-6
378828,3429,2555,2809,4.891467899132083e-5,3.65018501223462e-5,3.755021288257036e-5
378287,10169,13131,10654,1.4506076718073536e-4,1.875952226835726e-4,1.424207789430063e-4
