BinBase name,F_PAT_19_019,F_PAT_20_020,F_PAT_21_021,normF_PAT_19_019,normF_PAT_20_020,normF_PAT_21_021
14729,2549,1614,2136,3.636148053335573e-5,2.3058311584135722e-5,2.8553668464638768e-5
14719,117,206,181,1.669004794979451e-6,2.943006311234175e-6,2.419575838997948e-6
14712,12624,8810,15233,1.8008133787880847e-4,1.2586352233967516e-4,2.036320373229599e-4
14709,2750,3851,5215,3.922874518114094e-5,5.5017074293994214e-5,6.97131933722337e-5
14703,26629,8135,27886,3.798626383376735e-4,1.1622017641694181e-4,3.727750930734629e-4
14702,15468,10701,13767,2.2065099289523204e-4,1.5287917736173256e-4,1.84034809809308e-4
14696,6281,6691,12883,8.95984539937259e-5,9.55905593614945e-5,1.7221765488293128e-4
14694,2993,1968,2819,4.269513975532903e-5,2.8115710779169206e-5,3.7683891105719424e-5
14689,18328,11028,18050,2.6144888788361863e-4,1.5755084271985671e-4,2.4128919278404952e-4
13146,146,93,107,2.082689744162392e-6,1.3286387715765935e-6,1.4303569876949196e-6
13139,3929,2142,3833,5.604717811516464e-5,3.0601551061473804e-5,5.1238862933033894e-5
10176,1805,1096,1475,2.5748321837076146e-5,1.5657936490838137e-5,1.971753791448604e-5
6485,8727,4335,8269,1.2449063970756982e-4,6.193171048155412e-5,1.1053852272195598e-4
6435,2962,1940,2844,4.2252924809650716e-5,2.7715690503855823e-5,3.801808666359207e-5
6422,790,608,430,1.1269348615673216e-5,8.686154549662032e-6,5.74816359540949e-6
6404,14238,10854,15888,2.0310504505057625e-4,1.5506500243755213e-4,2.1238796093922318e-4
5837,42527,40383,6993,6.066475804794113e-4,5.769292420707266e-4,9.348118144813619e-5
5244,309464,268974,133198,0.0044145034177224,0.0038426804832907818,0.0017805671967008215
4983,597,568,704,8.516203953869506e-6,8.114697013500056e-6,9.410946909693676e-6
4862,114490,116910,41344,0.001633199649377755,0.0016702275138174147,5.52679245787465e-4
4852,1402,858,1461,1.9999527543258036e-5,1.225776415067438e-5,1.953038840207736e-5
4850,4807,2867,5049,6.857184657663436e-5,4.095921890440961e-5,6.749413486795933e-5
4849,1204,599,1131,1.717505789021589e-5,8.557576604025587e-6,1.511900703815845e-5
4801,1575,1034,473,2.2467372240107994e-5,1.4772177309787074e-5,6.322979954950439e-6
4795,2029,1960,1931,2.894368144455817e-5,2.8001419271936812e-5,2.5813264890083082e-5
4766,14015,9205,13455,1.9992395044134194e-4,1.3150666550927468e-4,1.798640492470574e-4
4755,2437,1623,1805,3.476380072961472e-5,2.3186889529772166e-5,2.412891927840495e-5
4744,3162,2430,811,4.510592445918824e-5,3.471604532184003e-5,1.0841303897388596e-5
4735,5161,4088,4762,7.362165595631579e-5,5.840296019575392e-5,6.365756986358138e-5
4732,1003,880,1244,1.4307793242430678e-5,1.2572065795563467e-5,1.6629570959742802e-5
4729,33658,22026,31329,4.8013131102066974e-4,3.1467309228759197e-4,4.188005053036835e-4
4723,434,195,425,6.191009239496425e-6,2.785855488789632e-6,5.681324483834961e-6
4721,152,117,169,2.1682797336485174e-6,1.671513293273779e-6,2.2591619712190784e-6
4716,9189,6319,8479,1.310810688980015e-4,9.027600427518811e-5,1.133457654080862e-4
4713,12420,6569,9726,1.7717127823628018e-4,9.384761387620047e-5,1.3001543983477373e-4
4709,1119,766,1106,1.596253303916244e-5,1.0943411817501836e-5,1.4784811480285804e-5
4708,95,174,70,1.3551748335303233e-6,2.4858402823045945e-6,9.357475620434053e-7
4707,692,619,645,9.87137878739983e-6,8.843305372106575e-6,8.622245393114235e-6
4550,283,385,161,4.036994504095595e-6,5.5002787855590164e-6,2.152219392699832e-6
4546,1527,809,1246,2.1782652324218987e-5,1.155772866887596e-5,1.6656306604372616e-5
4541,37341,41698,92507,5.326692995669032e-4,5.957159085720516e-4,0.0012366171388849898
3772,1760,1512,1345,2.5106396915930204e-5,2.1601094866922683e-5,1.797972101354829e-5
3365,871,496,857,1.2424813473735912e-5,7.0860734484084995e-6,1.1456223723874262e-5
3246,99,225,191,1.4122348265210738e-6,3.2144486409111135e-6,2.5532540621470057e-6
3229,4093,2533,4107,5.8386637827785406e-5,3.6187548477457114e-5,5.490164624731808e-5
3204,3457,2400,609,4.9314098942256083e-5,3.4287452169718544e-5,8.141003789777627e-6
3194,5393,1409,3243,7.693113554977931e-5,2.0129591711305597e-5,4.335184776723948e-5
3182,9434,6689,4495,1.3457599346868495e-4,9.55619864846864e-5,6.008836130550153e-5
3178,2389,1472,3070,3.407908081372571e-5,2.102963733076071e-5,4.1039214506760774e-5
3175,20272,14062,17809,2.891800444771233e-4,2.0089589683774259e-4,2.380675476061572e-4
3166,2706,2227,2079,3.8601085258242684e-5,3.1815898325818e-5,2.779170259268914e-5
3161,17539,12128,3220,2.501938042661931e-4,1.7326592496431104e-4,4.3044387853996644e-5
2821,742,664,822,1.0584628699784211e-5,9.486195100288798e-6,1.098834994285256e-5
2394,5913,4469,5411,8.434893463857687e-5,6.384609322769675e-5,7.233328654595523e-5
2018,956,703,870,1.363733832478936e-5,1.0043366198046723e-5,1.1630005413968038e-5
2017,510,307,493,7.275149106320684e-6,4.385936590043164e-6,6.590336401248555e-6
1981,2558,1330,1930,3.648986551758492e-5,1.9000963077385694e-5,2.5799897067768174e-5
1970,7207,4005,3867,1.0280784237108465e-4,5.721718580821782e-5,5.169336889174069e-5
1967,1216,1019,702,1.734623786918814e-5,1.4557880733726333e-5,9.384211265063864e-6
1846,304,133,267,4.336559467297035e-6,1.9000963077385694e-6,3.569208558079846e-6
1771,212,365,319,3.0241796285097745e-6,5.214550017478028e-6,4.264335318454947e-6
1753,7221,510,6697,1.0300755234655227e-4,7.286083586065191e-6,8.952430604292408e-5
1746,122,170,172,1.740329786217889e-6,2.428694528688397e-6,2.2992654381637958e-6
1744,9855,6901,8075,1.4058155773096146e-4,9.859071142634487e-5,1.0794516519286425e-4
1717,280,171,160,3.994199509352532e-6,2.4429809670924463e-6,2.1388515703849263e-6
1715,5371,4854,6246,7.661730558833018e-5,6.934637201325575e-5,8.349541817890157e-5
1704,20142,17508,24683,2.8732559470492393e-4,2.501269635780968e-4,3.2995795819881963e-4
1684,6643,4176,5926,9.476238335938883e-5,5.9660166775310265e-5,7.921771503813172e-5
892,1059,4941,1240,1.5106633144301184e-5,7.058929215440806e-5,1.657609967048318e-5
592,1247,733,1154,1.7788452814866457e-5,1.0471959350168206e-5,1.5426466951401283e-5
309,219,120,250,3.124034616243588e-6,1.7143726084859273e-6,3.3419555787264476e-6
303,225,287,228,3.2096246057297133e-6,4.100207821962176e-6,3.0478634877985203e-6
168,3411,6738,4476,4.8657909022862454e-5,9.626202196648482e-5,5.983437268151832e-5
136,137,119,213,1.9543047599332034e-6,1.7000861700818779e-6,2.8473461530749335e-6
134,4124,3140,1944,5.882885277346373e-5,4.4859416588715095e-5,2.5987046580176857e-5
68,411322,356250,180045,0.005867507609235365,0.005089543681442596,0.002406809568687213
