BinBase name,L1_SAT_748,L2_SAT_748,L3_SAT_748,normL1_SAT_748,normL2_SAT_748,normL3_SAT_748
threonine,1641657,2207010,1652461,0.005880492215356178,0.009011769947043863,0.005950347172512295
terephthalic acid,7609,2970,4436,2.7255794155932187e-5,1.2127247607722789e-5,1.5973593360003378e-5
tagatose,1890,1358,2257,6.7700684655949314e-6,5.54505126305978e-6,8.127231788441754e-6
sucrose,35161,19945,8401,1.2594834778771607e-4,8.144038839597004e-5,3.025116271807673e-5
succinic acid,151158,187130,441494,5.414550312816923e-4,7.640982642535911e-4,0.0015897758401445742
stigmasterol,258,158,181,9.24168076255816e-7,6.451532397374413e-7,6.517629391705616e-7
stearic acid,2236660,1125937,1830655,0.008011820811776486,0.004597480400571237,0.006592005985675604
squalene,2983,2928,2640,1.0685245625856973e-5,1.1955751176906506e-5,9.506376571327528e-6
spermidine,82304,59282,89156,2.948167804192197e-4,2.4206312884882906e-4,3.210418596944231e-4
sorbitol,41689,4437311,90324,1.4933194934507252e-4,0.01811864283147206,3.2524771114719227e-4
sophorose,110182,71679,132575,3.946770813101485e-4,2.926831586781016e-4,4.7738934619081326e-4
shikimic acid,17773,11549,18210,6.36637179042427e-5,4.715743522612474e-5,6.557239294086148e-5
serine,5206064,10755530,4462041,0.018648364929242864,0.043917500155653426,0.01606736440253896
salicyl alcohol,1857,820,1374,6.651860920957559e-6,3.348263649270265e-6,4.947636897350009e-6
saccharic acid,51726,33778,51640,1.8528495314886953e-4,1.379239628598183e-4,1.859504871755127e-4
ribulose-5-phosphate,13501,1993,11882,4.836121394391385e-5,8.13791396706785e-6,4.27858963714067e-5
ribose-5-phosphate,19482,6767,3327,6.978543589773568e-5,2.7631341603185223e-5,1.1980195020002533e-5
ribonic acid,54923,37768,41471,1.9673675679146582e-4,1.5421612378736506e-4,1.4933293287481967e-4
ribitol,348590,298562,304735,0.0012486656965194375,0.0012191027946993034,0.0010973203274482932
quinic acid,8055,3087,3494,2.8853387031940303e-5,1.2604987664996715e-5,1.2581545356143327e-5
pyrophosphate,733489,78786,824303,0.002627391930561249,3.217028047212281e-4,0.0029682328510890134
putrescine,219357,153488,248698,7.857470414854536e-4,6.267296231697492e-4,8.955366820212172e-4
pseudo-uridine,88784,53849,112579,3.1802844372983086e-4,2.1987884054823717e-4,4.053857454634401e-4
prunin,41628,20925,36882,1.4911344448983375e-4,8.544197178168328e-5,1.3280840178170526e-4
propyleneglycol,698863,230936,737256,0.0025033599778153813,9.42969041594973e-4,0.002654785289951003
proline,1733205,1772844,2362991,0.006208421436461092,0.007238962342715724,0.008508894803279472
pipecolinic acid,6020,2672,5056,2.1563921779302373e-5,1.0910439598597741e-5,1.8206151494178782e-5
phthalic acid,251623,73062,217176,9.013253637663457e-4,2.9833029114998056e-4,7.8202910539948e-4
phosphoinositol,10714,12605,11647,3.8378049492266714e-5,5.1469345486648396e-5,4.19396848205499e-5
phosphoethanolamine,466392,440862,766769,0.0016706379745003975,0.0018001490352982773,0.0027610586580379686
phosphate,520548,2006408,3381304,0.0018646273013907461,0.008192662160981773,0.012175738305354566
phenylalanine,2900757,7330229,2409970,0.010390647350292992,0.029931145489666737,0.008678061494546288
phenylacetic acid,2474,4301,4247,8.861983800995693e-6,1.7562051165257814e-5,1.5293023219101518e-5
pentadecanoic acid,564569,73968,479642,0.0020223125838901928,3.0202971415758896e-4,0.001727142981600257
pelargonic acid,132052,62409,120321,4.730164449834613e-4,2.548314464479365e-4,4.332639149389013e-4
parabanic acid,130215,20307,64762,4.664362249986476e-4,8.291852429967228e-5,2.3320149981527022e-4
pantothenic acid,123796,51515,129098,4.434430665432752e-4,0.00021034853889287522,4.6486901613834893e-4
palmitoleic acid,330297,196237,400482,0.0011831393142754546,8.012844070022548e-4,0.0014420957204690876
palmitic acid,1760036,1017064,1778431,0.006304531334344889,0.00415292490266026,0.006403952572773707
palatinitol,137509,105289,161984,4.92563674410314e-4,4.2992113581465476e-4,5.832882206552721e-4
oxoproline,6391402,7108058,8791806,0.0228943011275875,0.029023966119883778,0.031658416128051814
ornithine,365972,637680,339143,0.001310928834122068,0.0026038058095934906,0.0012212201020945954
oleic acid,499570,287923,471837,0.0017894831234694496,0.001175661115474198,0.0016990379554111617
octadecanol,3433,3370,6593,1.2297166689093861e-5,1.3760546948830235e-5,2.3740735126803936e-5
nonadecanoic acid,26387,25728,29188,9.451946910140394e-5,1.0505381362003094e-4,1.0510307551663178e-4
N-methyl-UMP,66131,12397,15176,2.3688433740648592e-4,5.062002982927253e-5,5.464726168426764e-5
N-methylethanolamine,1460079,1376376,1530647,0.0052300713201996725,0.005620085034790256,0.00551170711355029
nicotinic acid,342091,213756,447182,0.0012253859743194897,8.728188348944082e-4,0.0016102577605755252
nicotinamide,36947,16066,31668,1.3234588338536293e-4,6.560146803558057e-5,1.140333080533334e-4
