BinBase name,L1_SAC_907,L2_SAC_907,L3_SAC_907,normL1_SAC_907,normL2_SAC_907,normL3_SAC_907
arabinose,16601,14289,14198,6.575895124561796e-5,5.953616266894605e-5,5.684180592718952e-5
alpha-ketoglutarate,1221154,1114233,2385889,0.004837166818227298,0.004642533217097611,0.009551925588238927
alpha-aminoadipic acid,5610,8103,6427,2.2222017739167328e-5,3.376174162687871e-5,2.5730545618682003e-5
allantoin,27538,7921,36370,1.090819829770392e-4,3.300342532722525e-5,1.4560758427749562e-4
allantoic acid,107273,20780,92207,4.2492379838390316e-4,8.658138849889418e-5,3.691514578904328e-4
alanine,21158791,11518226,14953344,0.08381301763660143,0.04799153032358344,0.05986583163899872
adipic acid,23162,15408,16327,9.174801691169228e-5,6.419855793989227e-5,6.536527436070033e-5
adenosine-5-monophosphate,10263,5655,6369,4.0653220687535526e-5,2.356197073923227e-5,2.5498342157365126e-5
adenosine,14450,10820,26915,5.7238530540279484e-5,4.508232067170525e-5,1.0775441657489125e-4
adenine,9124,4997,7691,3.614147769200761e-5,2.0820365655869787e-5,3.079097967220838e-5
aconitic acid,1777,5126,3022,7.038952856060667e-6,2.1357853582547234e-5,1.209860103619994e-5
9-myristoleate,31944,9332,138981,1.265347833618469e-4,3.888245993607702e-5,5.564115389186313e-4
6-methylcholecalciferol,1226,902,853,4.856362521964197e-6,3.75824891366711e-6,3.4149922845395594e-6
5-methyluridine,755,1446,997,2.9906637064298276e-6,6.024864666477429e-6,3.991497429878008e-6
5-aminovaleric acid,12837,36188,20426,5.084920529727112e-5,1.5077994643878645e-4,8.177565346307741e-5
4-hydroxybutyric acid,918,688,610,3.6363301755001083e-6,2.866602275613051e-6,2.4421398517809277e-6
3-phosphoglycerate,57098,40910,46191,2.261733990857355e-4,1.7045450449902603e-4,1.8492603589116856e-4
3-hydroxypropionic acid,89544,31843,42957,3.5469667672655955e-4,1.3267618642782904e-4,1.719786911687759e-4
3-hydroxykynurenine,12309,10348,19970,4.875772127476125e-5,4.3115698180296295e-5,7.995005383617233e-5
3-hydroxy-3-methylglutaric acid,4454,2585,3622,1.764293529594497e-5,1.0770591398924034e-5,1.4500705808443475e-5
"3-Aminopiperidine-2,6-dione",83635,135543,110399,3.312902769367664e-4,5.647498143072961e-4,4.4198327458485676e-4
3-aminoisobutyric acid,1470,24401,16267,5.822881653578605e-6,1.0166854960353787e-4,6.512506388347598e-5
"3,6-anhydro-D-galactose",21620,27775,25319,8.563993289140777e-5,1.1572656715865187e-4,1.0136481788072345e-4
"3,4-dihydroxyphenylacetic acid",19200,15700,18778,7.605396445490423e-5,6.541519727779781e-5,7.517787235531517e-5
2-picolinic acid,2721,3446,3375,1.0778272775093458e-5,1.4358010816515368e-5,1.3511839343869886e-5
2-monoolein,12184,11596,11113,4.826257827700797e-5,4.831558137791997e-5,4.4490983889904014e-5
2-ketoisovaleric acid,56590,37855,24014,2.2416113794286615e-4,1.5772562375484308e-4,9.614024000109376e-5
2-ketoisocaproic acid,88546,144700,162818,3.5074345503249734e-4,6.029031239552448e-4,6.518431580119132e-4
2-hydroxyglutaric acid,2355140,4474326,4282200,0.00932904863782933,0.018642606240457323,0.01714382175950211
2-Deoxyinosine,2245,2217,2051,8.892768239648958e-6,9.237292507317055e-6,8.211194813119151e-6
2-amino-4-oxo-4-phenylbutanoic acid,1227,903,1687,4.860323665946223e-6,3.762415486742129e-6,6.753917917958073e-6
"2,6-diaminopimelic acid",1254,4227,2271,4.967274553460932e-6,1.7612104388105182e-5,9.09196656294178e-6
1-monopalmitin,9343,5066,7915,3.700896822407136e-5,2.1107859198046098e-5,3.168776545384597e-5
1-kestose,6450,10068,3746,2.5549378684069388e-5,4.1949057719290984e-5,1.4997140794707138e-5
588382,141074,45390,132725,5.588144261203729e-4,1.89120751875111e-4,5.313655931600387e-4
588380,23402,36969,32829,9.269869146737858e-5,1.5403404001037627e-4,1.3143116261330503e-4
588375,24650,10933,21715,9.764219915694735e-5,4.5553143429182386e-5,8.693617521544728e-5
588374,61985,132635,119694,2.4553150972589783e-4,5.526334198051409e-4,4.7919588101486287e-4
588356,2289,4755,2791,9.067058574858114e-6,1.9812054971715198e-5,1.1173790698886177e-5
562527,42153,20800,60074,1.66974102274353e-4,8.666471996039456e-5,2.4050673681293023e-4
554665,1526,1009,957,6.044705716572075e-6,4.2040722326941395e-6,3.831357111728438e-6
553510,12613,13436,10969,4.996190904529724e-5,5.5982075835954866e-5,4.391447874456556e-5
553483,50895,61215,54298,2.016024229652266e-4,2.550567707872862e-4,2.1738247487213246e-4
553440,21612,19778,20097,8.560824373955157e-5,8.240648227772517e-5,8.045849934629722e-5
553439,5991,11089,10762,2.3731213596319333e-5,4.620312882888535e-5,4.308575259814154e-5
553386,136729,121139,119188,5.416032555184688e-4,5.047344957347229e-4,4.771701059902708e-4
553359,17529,28250,28762,6.943489286093834e-5,1.1770568936928587e-4,1.151488957654476e-4
553345,24316,22075,22267,9.631917706695058e-5,9.197710063104374e-5,8.914611160591134e-5
553344,121481,103733,100209,4.812037320805323e-4,4.322111247909427e-4,4.0118752853625405e-4
553268,26109,30830,30943,1.0342150822672367e-4,1.284554479028348e-4,1.2388054661255284e-4
553263,84041,53282,60918,3.3289850139346904e-4,2.220033465831607e-4,0.00024388569752588614
550987,19864,18539,31290,7.868416405896966e-5,7.724409823777667e-5,1.2526976387250037e-4
545358,4020487,2971016,4961656,0.015925727884864817,0.012378955271050558,0.01986402925971795
545069,20377,466186,127413,8.071623092174913e-5,0.0019423980355507931,5.10098958909776e-4
544748,8059909,7997630,8946310,0.03192646003102931,0.033322709821963954,0.03581662324161677
544707,838,978,310,3.3194386569380072e-6,4.074908467368552e-6,1.2410874656591598e-6
544105,16506,11100,24212,6.538264256732547e-5,4.624896113271056e-5,9.693293457593412e-5
544078,7626,9176,7359,3.0207684006932272e-5,3.823247453637406e-5,2.946181503156696e-5
544032,3369,14297,9404,1.3345094075446475e-5,5.95694952535462e-5,3.7648988796963676e-5
541377,63469,161549,17235,2.514098473952248e-4,6.731057136962394e-4,6.900045958269555e-5
540580,9256,2096,4763,3.666434869763508e-5,8.733137165239759e-6,1.906870838365993e-5
539711,1582,1302,1920,6.266529779565546e-6,5.424878143674698e-6,7.686735271179312e-6
539702,8988,3492,7790,3.560276211045204e-5,1.454967317796624e-5,3.1187326959628566e-5
539604,1738,4543,3456,6.884468240761643e-6,1.8928741479811177e-5,1.3836123488122762e-5
534660,3211,428,3981,1.2719233326286326e-5,1.7832932761081188e-6,1.5937965163835857e-5
524550,286,825,645,1.1328871788595109e-6,3.4374227868906494e-6,2.5822626301618002e-6
521677,31493,31124,38174,1.2474830742595307e-4,1.2968042038689038e-4,1.528299126260412e-4
521666,2056,1940,1066,8.144112027045994e-6,8.0831517655368e-6,4.267739478686015e-6
520868,77630,12759,39211,3.075036073246987e-4,5.3161305864167024e-5,1.5698155037406877e-4
520865,6316,4891,7402,2.501858539047787e-5,2.0378708909917778e-5,2.9633965873577746e-5
520862,4411,2614,3531,1.747260610471784e-5,1.0891422018099585e-5,1.4136386584653205e-5
520631,90690,52466,60867,3.5923614772996165e-4,2.1860342295394522e-4,2.4368151862024542e-4
519942,1386,7725,4675,5.490145559088399e-6,3.2186777004521535e-5,1.871639968373088e-5
519090,91710,91286,77591,3.632765145916285e-4,3.803497897261816e-4,3.1063618563858023e-4
517908,9266,7906,6021,3.670396013745534e-5,3.294092673109997e-5,2.4105121389463877e-5
517902,12923,860,4195,5.118986367972538e-5,3.5832528445163133e-6,1.679471586593605e-5
514161,1137,1209,1775,4.5038207075638595e-6,5.037386847697934e-6,7.106226617887125e-6
513579,3494,4448,3823,1.3840237073199759e-5,1.8532917037684374e-5,1.5305410907145058e-5
511804,1175,624,652,4.654344178880857e-6,2.599941598811837e-6,2.610287185837975e-6
511719,25704,54453,39097,1.0181724491400302e-4,2.2688240365400792e-4,1.565251504673425e-4
509844,89234,48355,69056,3.5346872209213143e-4,2.0147464104254225e-4,2.7646624525341594e-4
488159,299,623,444,1.1843820506258523e-6,2.5957750257368176e-6,1.777557531460216e-6
486463,8700,51,61,3.446195264362847e-5,2.1249522682596742e-7,2.4421398517809274e-7
476084,1723,2668,2438,6.825051081031249e-6,1.111641696415061e-5,9.760552391216232e-6
474821,9718,16432,18851,3.849439721733121e-5,6.846512876871169e-5,7.547012843593813e-5
474672,426155,77922,124172,0.0016880613136604015,3.246677071516281e-4,4.971235896317071e-4
474251,8018,17296,10787,3.1760452447886564e-5,7.206504790552809e-5,4.3185840296985024e-5
474221,47155,58358,47270,1.8678774447244837e-4,2.43152871511957e-4,1.892458209732532e-4
474043,34469,31599,32348,1.365366719164632e-4,1.316595425975244e-4,1.2950547528755646e-4
425777,1131,12015,4750,4.480053843671702e-6,5.006137549635291e-5,1.901666278026132e-5
425770,24354,21517,24309,9.646970053826757e-5,8.965215285518316e-5,9.732127484744683e-5
425127,5487,1369,4864,2.1734797029378097e-5,5.704038539700969e-6,1.947306268698759e-5
422265,252061,120362,183665,9.984499132535216e-4,5.014970684554331e-4,7.353042883235148e-4
421543,2762,40120,18732,1.0940679678356535e-5,1.6716291176976103e-4,7.499371098944317e-5
417901,16469,32641,3058,6.52360802399905e-5,1.3600111174169417e-4,1.2242727322534552e-5
417820,3649,5102,5411,1.445421439041383e-5,2.125785582874678e-5,2.166298153768295e-5
417688,4567,4424,4466,1.8090544565913936e-5,1.843291928388392e-5,1.7879666521399382e-5
412153,1374,531,2087,5.442611831304084e-6,2.2124503028350728e-6,8.355321099453764e-6
407336,28617,23971,27912,1.1335605733364553e-4,9.98769231812797e-5,1.1174591400476926e-4
406926,151,329,338,5.981327412859655e-7,1.3708025416812407e-6,1.3531856883638582e-6
406851,239770,401484,362079,9.497634925704368e-4,0.0016728124244509157,0.001449586156381945
406846,300869,182794,112069,0.0011917854287282594,7.616245586750174e-4,4.4866913286760126e-4
405282,5654,18977,10227,2.2396308074376482e-5,7.906905724463497e-5,4.0943875842891055e-5
404192,13143,3073,14153,5.2061315355771155e-5,1.2803879059533293e-5,5.666164806927126e-5
404164,37474,10046,18949,1.4843990958245213e-4,4.1857393111640566e-5,7.586247221540458e-5
