BinBase name,L1_SF_907,L2_SF_907,L3_SF_907,normL1_SF_907,normL2_SF_907,normL3_SF_907
histidine,6941006,5792758,5713862,0.027762851963441512,0.024003304033507113,0.024696884987576245
heptanoic acid,12110,8684,5832,4.843795514328567e-5,3.598366999397796e-5,2.5207509955183493e-5
heptadecanoic acid,37154,14912,33025,1.4860972629179487e-4,6.179047523608928e-5,1.4274314407920695e-4
guanosine,279810,196535,210775,0.001119192752158775,8.143770822508588e-4,9.110275910157409e-4
glycyl-proline,41558,36317,32155,1.6622498264613262e-4,1.5048582947619732e-4,1.3898276450770324e-4
glycyl-glycine,25348,17396,23785,1.0138771981602025e-4,7.208336287600651e-5,1.0280531966461581e-4
glycolic acid,30806,28044,12043,1.2321879819521538e-4,1.1620520973181918e-4,5.205316227542435e-5
glycine,3170343,3139543,2644598,0.012680836665799316,0.013009244500679817,0.011430680797746631
glycerol-alpha-phosphate,199909,124765,161329,7.996022439916676e-4,5.169855581297398e-4,6.973083630932438e-4
glycerol-3-galactoside,116406,72447,38244,4.656043440470117e-4,3.001967918071996e-4,1.6530109923285966e-4
glycerol,3188498,2761761,1917123,0.012753453600202814,0.011443838833053726,0.00828633352328725
glyceric acid,114323,81226,75293,4.572726957758751e-4,3.365741108856349e-4,3.254370793991136e-4
glutaric acid,8186,5750,4721,3.2742617737649586e-5,2.3826128796104704e-5,2.040546201961956e-5
glutamine,5302849,10150844,6130209,0.02121050057750762,0.04206179417968116,0.02649645137085999
glutamate,5777470,9083027,6575511,0.023108904434490395,0.03763710802791244,0.02842116923746889
glucose-6-phosphate,24195,14000,13829,9.677591450799313e-5,5.8011444025298406e-5,5.977274608543082e-5
glucose,5720984,6060857,4812584,0.02288296997253964,0.025114219042917003,0.020801313287063923
gluconic acid lactone,171578,90257,142749,6.862830278756952e-4,3.739956359565256e-4,6.170004867271071e-4
gluconic acid,715704,765765,582456,0.0028626951484616125,0.00317308095957376,0.0025175352226434085
galacturonic acid,37728,32489,39279,1.509056293679506e-4,1.3462384320985142e-4,1.697746542403382e-4
galactose,248753,154712,190307,9.949699963466342e-4,6.410761805744263e-4,8.225592587519042e-4
galactinol,4033,4085,3580,1.6131319000237086e-5,1.692691063166743e-5,1.547374582296929e-5
fumaric acid,194819,233993,174769,7.792431034731438e-4,9.695908444151179e-4,7.553997440599218e-4
fructose-6-phosphate,10562,7502,6282,4.224621653372281e-5,3.108584664841348e-5,2.7152533871478516e-5
fructose-1-phosphate,4520,2877,3563,1.8079236766940646e-5,1.1921351747198824e-5,1.5400267141687035e-5
fructose,374320,258604,327574,0.0014972167934958459,0.0010715708193370192,0.0014158650319031684
ethanolamine,8252899,8120535,5238995,0.03301020244129374,0.03364885440056976,0.02264437904966676
erythritol,584274,607974,574187,0.002336997341320239,0.002519246404988341,0.0024817943276126448
ergosterol,9175,6634,10571,3.669845073820364e-5,2.7489137118844976e-5,4.5690772931454854e-5
Dopamine,66908,187286,137743,2.676207021244391e-4,7.760522361230027e-4,5.953631762271673e-4
digalacturonic acid,24699,18402,22398,9.879182940412987e-5,7.625189949668152e-5,9.68103237270576e-5
dehydroabietic acid,21480,24736,15038,8.591637295439936e-5,1.0249793424355581e-4,6.499837700721011e-5
cytidine,12301,10886,8950,4.920192289162321e-5,4.510804140424275e-5,3.868436455742323e-5
cystathionine,22094,10451,40243,8.837226927628023e-5,4.3305542964885265e-5,1.739413276965791e-4
citrulline,543026,469824,483441,0.002172012306328476,0.0019467977626958428,0.00208956512692796
citric acid,218290,302303,246417,8.731231402335119e-4,0.0012526452545128417,0.0010650821297370457
cholesterol,57985,55305,64743,2.3193020883430386e-4,2.291659222727949e-4,2.7983707425041925e-4
chenodeoxycholic acid,905,764,957,3.619847184531258e-6,3.165767373951999e-6,4.136417528654081e-6
cerotinic acid,1346,895,1048,5.38377271865091e-6,3.7085887430458625e-6,4.52974458728263e-6
cellobiose minor,9318,8156,9892,3.7270426591671005e-5,3.3795809819309556e-5,4.2755947955534145e-5
caproic acid,16281,15034,3730,6.512125084127448e-5,6.229600353402403e-5,1.6122087128400966e-5
capric acid,10219,5001,7802,4.087427445162975e-5,2.0722516540751238e-5,3.3722392433186147e-5
campesterol,5419,3685,5255,2.1675084964613133e-5,1.526944080237319e-5,2.271355706695632e-5
butylamine,115611,38873,80613,4.624244782882246e-4,1.6107706168538751e-4,3.4843158436509035e-4
biphenyl,5993,5568,10545,2.397098804076887e-5,2.3071980023775826e-5,4.5578393771846696e-5
biopterin,3698,2131,3618,1.4791375567289051e-5,8.830170515565065e-6,1.563799228701198e-5
beta-sitosterol,266929,177145,270758,0.0010676709272041372,7.340312322758204e-4,0.0011702906345071283
beta-alanyl lysine,906105,646045,948016,0.0036242669979444147,0.0026770002396659938,0.004097586206734094
beta-alanine,2609755,1824703,1487338,0.01043857932493522,0.00756097542480672,0.00642868440358757
Benzaldehyde-4-carboxylic acid,5136,6331,3922,2.0543132751107778e-5,2.623360372315459e-5,1.695196399935351e-5
behenic acid,56288,29438,38732,2.2514249538441484e-4,1.2198149208690961e-4,1.6741036961319736e-4
azelaic acid,7127,6117,3599,2.8506796557076546e-5,2.534685736448217e-5,1.5555869054990636e-5
aspartate,3840321,2240102,2246994,0.015360635535410238,0.009282253698854215,0.009712126821714262
asparagine,2748592,1812678,2132547,0.010993903881353745,0.007511147738063562,0.009217455372496004
arachidic acid,81009,37813,60263,3.2402232107369355e-4,1.5668476663775776e-4,2.604732805948599e-4
arabitol,1016614,862063,893401,0.004066284337740398,0.0035721085336272015,0.003861525137426421
arabinose,93937,35313,91763,3.757321380920583e-4,1.4632558020466878e-4,3.9662495473551145e-4
alpha-ketoglutarate,1679233,1067915,913826,0.006716648449969036,0.004425092231876896,0.003949807611849368
alpha-aminoadipic acid,11281,5990,7413,4.512209512563218e-5,2.482061069368125e-5,3.204102731443334e-5
allantoin,13333,8551,12495,5.332974863133178e-5,3.543256127573762e-5,5.4006830742458464e-5
allantoic acid,49423,51584,54726,1.9768365458683795e-4,2.1374730918578524e-4,2.3654084187369202e-4
alanine,5829770,18249512,18999992,0.023318095603276013,0.07562003884835797,0.08212319744314245
adipic acid,10780,11470,8778,4.311817972292482e-5,4.752794735501234e-5,3.7940933193861574e-5
adenosine-5-monophosphate,9760,6875,7926,3.9038351956933786e-5,2.8487762690994755e-5,3.4258354579009664e-5
adenosine,13858,22640,24909,5.5429659981474223e-5,9.3812792338054e-5,1.0766355717998382e-4
adenine,8227,6483,6763,3.2906610814517855e-5,2.68634422582864e-5,2.9231548324229417e-5
aconitic acid,8018,7584,8076,3.2070646105604006e-5,3.14256279634188e-5,3.490669588444134e-5
9-myristoleate,148273,78841,132303,5.930669630850863e-4,3.26691447028468e-4,5.718499982168453e-4
6-methylcholecalciferol,640,528,744,2.5598919316022153e-6,2.187860174668397e-6,3.2157728749411043e-6
5-methyluridine,1264,1585,1709,5.055786564914375e-6,6.567724198578427e-6,7.386768606551541e-6
5-aminovaleric acid,36398,26209,58225,1.4558585394758975e-4,1.0860156688993186e-4,2.516644833917282e-4
4-hydroxybutyric acid,1345,1226,776,5.379772887507781e-6,5.0801450267868465e-6,3.354085686766528e-6
3-phosphoglycerate,7043,12634,5679,2.8170810741053756e-5,5.2351184558258576e-5,2.4546201823643184e-5
3-hydroxypropionic acid,60413,51621,54537,2.4164179884981975e-4,2.1390062514499496e-4,2.3572393182884813e-4
3-hydroxykynurenine,15699,51842,13845,6.279334911597373e-5,2.1481637722568e-4,5.984190249134353e-5
3-hydroxy-3-methylglutaric acid,3383,3079,3217,1.3531428757203586e-5,1.2758374010992414e-5,1.3904759863824639e-5
