BinBase name,L1_PF_748,L2_PF_748,L3_PF_748,normL1_PF_748,normL2_PF_748,normL3_PF_748
phosphoethanolamine,1207547,939563,648304,0.004618817339233689,0.0036224821793538267,0.0026489230206554575
phosphate,1526695,847948,1728110,0.005839545241486565,0.003269260836174603,0.007060931848677322
phenylalanine,4536682,4653006,5398004,0.017352621044306658,0.017939649938776253,0.0220558519786863
phenylacetic acid,2664,2726,2201,1.0189689835442055e-5,1.0510084391273955e-5,8.993126015669596e-6
pentadecanoic acid,232551,557739,326617,8.894979583040111e-4,0.0021503609531565463,0.0013345333211540011
pelargonic acid,76026,99619,46667,2.907963060920862e-4,3.8408073990253857e-4,1.906779699106102e-4
parabanic acid,8077,24318,10370,3.0894190991315874e-5,9.375797220359503e-5,4.2371066234663206e-5
pantothenic acid,64721,45715,48233,2.4755514858845545e-4,1.762540381317274e-4,1.9707653208259502e-4
palmitoleic acid,334814,357019,185350,0.001280649704415802,0.0013764856270316347,7.573266274440526e-4
palmitic acid,1097849,1136176,728058,0.004199227025581917,0.004380522979948671,0.00297479206756764
palatinitol,216971,126826,14808,8.299051025847216e-4,4.889772424826525e-4,6.050441164926642e-5
oxoproline,10118333,13835765,7683359,0.03870220530094516,0.053343748264062546,0.031393646392834686
ornithine,2572106,4216190,1010427,0.009838199085540362,0.016255507230244073,0.00412853127698091
oleic acid,334443,339103,194621,0.001279230644757788,0.0013074105456104814,7.952072595618503e-4
octadecanol,5947,2526,7731,2.2747029073338552e-5,9.73898502287528e-6,3.1588304055948045e-5
nonadecanoic acid,14350,22597,6854,5.488815658355612e-5,8.712266213852443e-5,2.8004945802544032e-5
N-methyl-UMP,80820,39090,24061,3.091331578455056e-4,1.5071137155352125e-4,9.831149707543215e-5
N-methylethanolamine,1771264,1704266,1255570,0.006775011552809474,0.006570792180916691,0.00513016775624456
nicotinic acid,494575,471079,354854,0.0018917289228092171,0.0018162435968293999,0.0014499076506880595
nicotinamide,25819,34760,23279,9.875660730528469e-5,1.340170702276899e-4,9.511630191675263e-5
n-epsilon-trimethyllysine,6985,6920,29263,2.6717336148859892e-5,2.6680038146594196e-5,1.1956649095708288e-4
N-alpha-acetyllysine,41765,38673,34499,1.597493978893534e-4,1.4910362937041002e-4,1.4096040636737183e-4
N-acetylserine,14620,17271,12466,5.5920895418229296e-5,6.658828595806768e-5,5.0935169882479414e-5
N-acetylputrescine,396481,349010,152925,0.0015165234292965097,0.0013456069528241098,6.248404343236134e-4
N-acetylglucosamine-6-phosphate,12797,10618,5705,4.894799580486185e-5,4.093766546828572e-5,2.3310215320034096e-5
N-acetylgalactosamine,19891,21457,21497,7.608225244623795e-5,8.272739573865197e-5,8.78351794451837e-5
N-acetylaspartic acid,13269,12724,4924,5.075337628621645e-5,4.905734181752378e-5,2.0119106088667468e-5
myristic acid,1360189,1694516,1055387,0.005202666677019555,0.006533201086707256,0.004312234568968418
myo-inositol,966979,884185,765809,0.0036986546874571784,0.0034089724752379173,0.003129039909556528
methionine sulfoxide,234864,197621,275495,8.983450876543779e-4,7.619271414115739e-4,0.0011256525450644686
methionine,928096,893869,1051424,0.0035499288203882993,0.0034463091066557813,0.0042960420390274374
methanolphosphate,28466,34650,23394,1.0888127284372881e-4,1.3359296557507064e-4,9.558618355773492e-5
melezitose,3518,3933,941,1.3456204519926859e-5,1.5163669079559967e-5,3.844857601428937e-6
maltotriose,167196,66812,89685,6.395177859333971e-4,2.5759345500726177e-4,3.664463910564869e-4
maltotriitol,20173,9173,16320,7.716089078467439e-5,3.536647253160528e-5,6.668233374635521e-5
maltose,316297,3640281,237434,0.0012098229451504563,0.014035091899468506,9.701380656085847e-4
maltitol,952,1096,1846,3.6413606318846984e-6,4.2256245388247455e-6,7.542621819593855e-6
malonic acid,2079,2453,1579,7.952089026983496e-6,9.457533753409763e-6,6.451679227052382e-6
malonamide,1023,3438,800,3.912932695817276e-6,1.3255198142773244e-5,3.26874185031153e-6
malic acid,113184,125582,166703,4.329241194949976e-4,4.8418100441121275e-4,6.811363408406037e-4
maleimide,7132,18518,42513,2.7279605069959737e-5,7.139609052003342e-5,1.737050278528676e-4
