BinBase name,L1_PAC_440,L2_PAC_440,L3_PAC_440,normL1_PAC_440,normL2_PAC_440,normL3_PAC_440
malonamide,906,2117,NA,3.694223645037463e-6,8.80366274288347e-6,NA
malic acid,191290,239830,189171,7.799868002861107e-4,9.97346450460908e-4,7.76407374679413e-4
maleimide,46528,30841,2557,1.8971836396942945e-4,1.2825402109271095e-4,1.0494598310815395e-5
lysine,2953953,2187144,2650025,0.012044771544072129,0.009095360484705302,0.010876397297074136
loganin,76608,67957,38100,3.123698509923068e-4,2.8260298016916953e-4,1.5637238781465254e-4
linolenic acid,44813,53707,25676,1.8272543510492695e-4,2.2334355924990198e-4,1.0538103489577477e-4
linoleic acid,121893,167606,140688,4.970198706010501e-4,6.969989124627902e-4,5.774204329886571e-4
lignoceric acid,277,3644,NA,1.1294701431295555e-6,1.5153777531916563e-5,NA
leucrose,11086,5456,NA,4.520327078243412e-5,2.2689080739335006e-5,NA
leucine,10913704,12620580,10625437,0.04450073219838845,0.052483386839669466,0.04360957887832436
L-DOPA,9675508,9037135,8746743,0.03945197619354209,0.03758143065749089,0.035898926207640354
lauric acid,221056,306170,329499,9.013579493128051e-4,0.001273225045814186,0.0013523502732950183
lactulose,27886,59214,17958,1.1370543108776456e-4,2.4624472633779016e-4,7.370433964240238e-5
lactose,89077,131506,44570,3.6321231747130474e-4,5.46875046133979e-4,1.8292696390811191e-4
lactobionic acid,21989,20674,18717,8.966035731868518e-5,8.597398372525879e-5,7.681947461225332e-5
lactitol,1256514,1192574,874700,0.005123447824636427,0.004959385589008744,0.0035899981003012227
lactic acid,1005787,1955118,2177154,0.004101106089703416,0.008130467404128882,0.00893561075118693
kynurenine,46870,10642,32584,1.9111287223278796e-4,4.4255351398094415e-5,1.3373327780978053e-4
kynurenic acid,5024,4697,NA,2.0485407938927387e-5,1.9532736846161386e-5,NA
ketoisoleucine,31709,217,13324,1.2929375006676922e-4,9.024066203144605e-7,5.468518885150736e-5
isoxanthopterin,22426,5063,17091,9.144222898853217e-5,2.1054768288719416e-5,7.014594436063587e-5
isothreonic acid,10617,11063,NA,4.329091880724365e-5,4.600610341262155e-5,NA
isomaltotriose,13980,15012,NA,5.700358339693569e-5,6.242824048000315e-5,NA
isomaltose,3077,2395,NA,1.2546496860684628e-5,9.959741270290935e-6,NA
isoleucine,8096854,9722171,7681953,0.03301499944505095,0.04043019112548046,0.03152874891574629
isoheptadecanoic acid,16818,20790,22499,6.857555547708615e-5,8.64563762043209e-5,9.234179405359232e-5
isogluconic acid,407033,244048,376719,0.0016596809414023551,0.0010148872390530112,0.0015461535318936506
inulotriose,140,36680,27278,5.708513358777536e-7,1.5253582872412172e-4,1.1195606285585543e-4
inosine-5-monophosphate,17778,21159,NA,7.248996463739075e-5,8.799088331444088e-5,NA
inosine,2268058,2347568,1676489,0.009248028136773044,0.009762492649024781,0.006880750343175828
indole-3-acetate,3824,2018,NA,1.559239648854664e-5,8.391965713339084e-6,NA
hypoxanthine,695065,813945,1162180,0.0028341341697990774,0.0033848357445707537,0.00476989138242606
hypotaurine,15942,10840,NA,6.50036571183082e-5,4.507874545718319e-5,NA
homoserine,14551,17940,NA,5.933184134540852e-5,7.460449202046738e-5,NA
histidine,5826310,6976684,7515998,0.023756834619556536,0.029012930089594338,0.03084762609108013
heptanoic acid,13881,8226,NA,5.6599909952279276e-5,3.4208280454869826e-5,NA
heptadecanoic acid,35668,39173,53164,1.454366103434837e-4,1.6290310846810304e-4,2.1819899280257711e-4
guanosine,120217,114425,NA,4.901859646086851e-4,4.758427535920836e-4,NA
glycyl-proline,60596,73478,49204,2.470807682060597e-4,3.055623670390135e-4,2.019461146990069e-4
glycyl-glycine,25544,26846,9917,1.0415590374043814e-4,1.1164059045604611e-4,4.0701967715430686e-5
glycolic acid,20389,19420,404,8.313634205151085e-5,8.075915468436324e-5,1.6581219075359482e-6
glycine,3108616,3881082,3358221,0.012675411402363994,0.016139696270890725,0.013783019332790296
glycerol-alpha-phosphate,175234,274257,197381,7.145183070800163e-4,0.0011405130528460046,8.101033669092896e-4
glycerol-3-galactoside,72004,101229,72792,2.9359699706101266e-4,4.209664505429149e-4,2.98757450231081e-4
glycerol,2427236,3159589,1462047,0.009897077950646966,0.01313932733213247,0.006000624159770323
glyceric acid,38108,32106,23508,1.5538573362592454e-4,1.3351459424800033e-4,9.648299456028482e-5
glutaric acid,6116,4496,NA,2.4938048358773868e-5,1.8696867119510667e-5,NA
glutamine,13729617,2801233,9161721,0.055982644325285116,0.01164908389052229,0.03760210470503009
glutamate,5758412,7732754,6917122,0.023479979876674908,0.03215708941411579,0.028389681993314042
glucose-6-phosphate,37250,27121,NA,1.518872304389023e-4,1.1278419331589162e-4,NA
glucose,6352494,6423005,7479092,0.02590235490039582,0.026710425042916503,0.03069615419226943
gluconic acid lactone,60424,40242,41904,2.463794365648385e-4,1.6734860467601162e-4,1.719850010232336e-4
gluconic acid,285238,80602,114699,0.0011630606667364192,3.351879189427933e-4,4.7075476404075675e-4
galacturonic acid,37097,28750,31290,1.5126337147897877e-4,1.1955848080203107e-4,1.2842236259108866e-4
galactose,396868,498145,429267,0.0016182330569080882,0.0020715638058827045,0.0017618242992134502
