BinBase name,L1_PAC_907,L2_PAC_907,L3_PAC_907,normL1_PAC_907,normL2_PAC_907,normL3_PAC_907
threonine,1317687,1342645,1272932,0.0049057712375685245,0.005021394571509864,0.004764938831630808
terephthalic acid,5498,4618,10936,2.0469148032993988e-5,1.7270983864858208e-5,4.093649233636559e-5
tagatose,1241,1337,1569,4.620264224981e-6,5.000282682398316e-6,5.873203774301171e-6
sucrose,4296,3140,9578,1.5994081475034953e-5,1.1743371445572711e-5,3.585312029971741e-5
succinic acid,711368,927160,494971,0.0026484352306174732,0.00346751091384624,0.0018528142417907107
stigmasterol,9245,7818,6879,3.441929311841205e-5,2.9238750943148868e-5,2.5750011958838595e-5
stearic acid,1314545,1217684,2515818,0.004894073517830499,0.0045540495271754015,0.009417407121131182
squalene,11147,9548,6991,4.15004716485602e-5,3.570882501984976e-5,2.6169259137118857e-5
spermidine,106787,138803,129697,3.975698273916568e-4,5.191131168024933e-4,4.85491975726921e-4
sorbitol,5652519,6121651,7731341,0.02104442491275212,0.022894529157057843,0.02894056159439732
sophorose,92856,107110,73106,3.457044761279901e-4,4.005836036736602e-4,2.7365610906568606e-4
shikimic acid,26195,27644,32813,9.752443301642007e-5,1.0338654784758344e-4,1.2282819340098428e-4
serine,7321935,7932470,8530385,0.027259689232986512,0.029666860411102596,0.0319316057222703
salicyl alcohol,1027,1144,1256,3.823538564911754e-6,4.278476730488911e-6,4.701557642142939e-6
saccharic acid,32448,52335,26622,1.2080445896227517e-4,1.957290906382318e-4,9.96535569658673e-5
ribulose-5-phosphate,6186,4572,6655,2.3030583799945582e-5,1.7098947213107782e-5,2.491151760227807e-5
ribose-5-phosphate,15794,2429,4280,5.880133212679284e-5,9.084283197865005e-6,1.6021231455710014e-5
ribonic acid,8555,8085,6238,3.18504113172542e-5,3.0237311508743746e-5,2.3350570518859598e-5
ribitol,22685,62243,11247,8.445664298444319e-5,2.3278428945438924e-4,4.210065191176882e-5
quinic acid,26118,29021,32974,9.723776069947926e-5,1.085364276184604e-4,1.2343086121976215e-4
pyrophosphate,499499,518461,30670,0.0018596433199949917,0.001939006402243017,1.1480634783799677e-4
putrescine,292101,262312,142912,0.0010874970188405925,9.810277868251812e-4,5.349593994856144e-4
pseudo-uridine,98122,76631,104665,3.653098841930586e-4,2.8659436218015364e-4,3.917902313812824e-4
prunin,9126,12205,6140,3.397625408313989e-5,4.564581162204297e-5,2.2983729237864366e-5
propyleneglycol,643325,278884,443501,0.0023951099778693813,0.0010430058605818788,0.0016601477037006653
proline,1723255,1959180,1646900,0.006415707838049664,0.007327190595139217,0.0061648051599086035
pipecolinic acid,6635,3634,8324,2.470221847924975e-5,1.3590895488283832e-5,3.1159049214329475e-5
phthalic acid,154792,83184,142941,5.762932634272836e-4,3.111021052001657e-4,5.350679545585619e-4
phosphoinositol,24787,30887,10415,9.22824249352168e-5,1.1551513179598863e-4,3.898624430168687e-5
phosphoethanolamine,406176,994108,199143,0.001512200194879841,0.003717891560832929,7.454476859309485e-4
phosphate,2372448,2678272,3365425,0.008832664480280196,0.01001654233384615,0.012597722633605812
phenylalanine,3484612,3894659,3960093,0.012973270073762685,0.014565741175427633,0.014823730499798373
phenylacetic acid,3734,3210,3529,1.39017458630774e-5,1.2005166350410319e-5,1.3210029394205757e-5
pentadecanoic acid,606751,530327,331470,0.0022589443503396025,0.0019833843785402035,0.0012407844837907006
pelargonic acid,57567,111302,60902,2.1432292557573026e-4,4.1626137854622097e-4,2.2797313974664752e-4
parabanic acid,50283,11104,47553,1.8720446899655088e-4,4.152815176166859e-5,1.7800411668536878e-4
pantothenic acid,72912,79196,58152,2.7145262302321894e-4,2.9618727547884595e-4,2.1767912420851609e-4
palmitoleic acid,351839,362663,288576,0.001309902614547212,0.0013563332224731642,0.0010802203010661152
palmitic acid,1352815,1371630,1344853,0.005036553382367181,0.005129796361748693,0.005034159155819154
palatinitol,137290,180466,113624,5.111330180883494e-4,6.749297042346257e-4,4.253262623653259e-4
oxoproline,7747626,7655725,6087835,0.028844544106633882,0.028631854254827113,0.022788461121301958
ornithine,790602,937507,419193,0.002943424767766663,0.0035062079407084507,0.0015691560929003384
oleic acid,318672,322433,281467,0.0011864213062877883,0.0012058759507357789,0.001053609335080451
octadecanol,2780,11382,2856,1.0349987546693941e-5,4.256785152659509e-5,1.0690803046146683e-5
nonadecanoic acid,7005,11496,7752,2.6079734807406855e-5,4.2994203228759195e-5,2.901789398239814e-5
N-methyl-UMP,57426,32188,31341,2.137979801641893e-4,1.2038077709875618e-4,1.1731808762930083e-4
N-methylethanolamine,1528723,1636217,1405488,0.005691461874944102,0.006119332482981097,0.0052611328402390085
nicotinic acid,629482,528489,513051,0.0023435722521107896,0.00197651039232461,0.001920492714855953
nicotinamide,46953,34310,32241,1.748068220431369e-4,1.2831690264254768e-4,1.2068703816905294e-4
n-epsilon-trimethyllysine,38303,5727,4883,1.4260272410108563e-4,2.1418563142928316e-5,1.8278428317343927e-5
N-alpha-acetyllysine,28133,31482,40938,1.0473964016228081e-4,1.177403884871083e-4,1.5324233021819078e-4
N-acetylserine,19402,12371,21006,7.22339778348762e-5,4.62666395392293e-5,7.863130559781416e-5
N-acetylputrescine,206076,293339,201877,7.672244725440649e-4,0.001097066508430845,7.556818090150399e-4
N-acetylglucosamine-6-phosphate,13568,10947,7675,5.0513896055231434e-5,4.0940983189389953e-005,2.8729661547330458e-5
N-acetylgalactosamine,40530,32930,67144,1.5089388318975015e-4,1.2315580309003483e-4,2.513386833790171e-4
N-acetylaspartic acid,10678,6389,5815,3.975437662719349e-5,2.3894394957249697e-5,2.1767163765176106e-5
myristic acid,1118621,1268271,1025063,0.004164645114917383,0.004743241225047117,0.003837096163477681
myo-inositol,1292385,1310386,940338,0.004811571458825197,0.004900748259579058,0.003519946902943795
methionine sulfoxide,325027,133983,92702,0.0012100810799781623,5.010866676408179e-4,3.4700939215122193e-4
methionine,652992,869249,830072,0.002431100384205313,0.0032509279890740868,0.0031071905693701224
methanolphosphate,20171,19441,9997,7.509697798718111e-5,7.270792492782772e-5,3.742155393989089e-5
melezitose,4117,1205,4840,1.5327661413575162e-5,4.506612290418827e-6,1.8117467347111324e-5
maltotriose,58591,51565,24519,2.1813529508933263e-4,1.9284934668501808e-4,9.178144253797987e-5
maltotriitol,15399,22823,7850,5.7330740371057554e-5,8.535635875869617e-5,2.9384735263393368e-5
maltose,223462,324873,7186684,8.319528478990365e-4,0.0012150013731329755,0.026901758823142028
maltitol,1468,1935,318,5.465389107390901e-6,7.236759155153884e-6,1.190362524045744e-6
malonic acid,2296,2489,1901,8.548047268780319e-6,9.308678830582953e-6,7.115972195631949e-6
malonamide,957,549,847,3.562927367692842e-6,2.053220039369241e-6,3.170556785744482e-6
malic acid,35310,34684,33218,1.3145973391142556e-4,1.2971563541982288e-4,1.2434422114387272e-4
maleimide,45206,45832,60084,1.683027111639735e-4,1.71408343978818e-4,2.249111380338506e-4
lysine,5718743,6145295,6323325,0.02129097799738962,0.022982955996057562,0.023669965746419983
loganin,98356,114823,69039,3.6618107019519035e-4,4.2942966225955264e-4,2.5843219590438403e-4
linolenic acid,81077,76221,60733,3.0185105767025345e-4,2.8506099202324763e-4,2.273405257008496e-4
linoleic acid,189167,175234,142061,7.042719763472852e-4,6.553624050616205e-4,5.317738695863599e-4
lignoceric acid,6316,4829,5432,2.3514576023352134e-5,1.8060108506582998e-5,2.033348814659271e-5
leucrose,26341,29689,4058,9.806799351347666e-5,1.1103469899605356e-4,1.5190223655904496e-5
leucine,7048039,7644813,8661065,0.02623996974050835,0.028591044169090144,0.032420777340642304
L-DOPA,7080343,5650077,8787972,0.026360238085007776,0.021130876722002267,0.032895825569695995
lauric acid,226271,262879,231838,8.424108029417211e-4,9.831483255543657e-4,8.678341724833875e-4
lactulose,63662,51985,19246,2.3701471481929123e-4,1.9442011611404375e-4,7.204313565341003e-5
lactose,213697,57227,125545,7.955975858869982e-4,2.1402481455916862e-4,4.6994988390353126e-4
lactobionic acid,35408,17112,25877,1.3182458958753204e-4,6.399763445115931e-5,9.686481457462805e-5
lactitol,1315189,1193807,602685,0.0048964711408449125,0.004464751285135293,0.0022560177289449976
lactic acid,2637983,1951614,1956975,0.009821255826759108,0.007298894305853484,0.007325502202812642
kynurenine,46669,32848,8298,1.7374948518584875e-4,1.2284912905865362e-4,3.106172397651442e-5
kynurenic acid,9442,7504,15181,3.5152727487728124e-5,2.8064413798591598e-5,5.682670904886302e-5
ketoisoleucine,37736,40560,33273,1.4049177340361244e-4,1.5169144771733412e-4,1.2455010145463535e-4
isoxanthopterin,88217,8596,7966,3.284333997865825e-4,3.2148414314058286e-5,2.981895555518364e-5
isothreonic acid,11837,10671,9436,4.406935344971805e-5,3.9908763278887385e-5,3.532157477011208e-5
isomaltotriose,10161,7987,3944,3.782957678487667e-5,2.9870798641971095e-5,1.476348992086923e-5
isomaltose,5512,4289,3686,2.052127027243777e-5,1.604054781212145e-5,1.3797724099473626e-5
isoleucine,5123549,5898396,6215283,0.01907506055571086,0.02205957170735041,0.023265534463957876
isoheptadecanoic acid,25692,18938,21613,9.565175541354702e-5,7.082674154020892e-5,8.090347557295807e-5
isogluconic acid,879283,636513,479208,0.0032735856474890965,0.002380512289470007,0.0017938089447261413
inulotriose,93275,22859,65109,3.472644202942005e-4,8.549099613832693e-5,2.4372111188079986e-4
inosine-5-monophosphate,14867,16834,5308,5.535009527219382e-5,6.29579346862328e-5,1.986932162778242e-5
inosine,2437994,2484419,928711,0.00907669335932178,0.009291546224024939,0.0034764238052485755
indole-3-acetate,6024,4901,12918,2.2427455029238956e-5,1.8329383265844538e-5,4.835567008057523e-5
hypoxanthine,1824025,1473169,1004839,0.006790876271531804,0.0055095448309244914,0.0037613921015710737
hypotaurine,13589,7097,12012,5.059207941439711e-5,2.6542263423321504e-5,4.496425987055811e-5
homoserine,14801,18983,15900,5.510437614338742e-5,7.099503826474738e-5,5.95181262022872e-5
histidine,7730267,9022520,4202124,0.028779916252740696,0.03374356806850595,0.015729719908783642
heptanoic acid,17575,26003,17235,6.543202558746259e-5,9.724932729274751e-5,6.451540283625283e-5
heptadecanoic acid,54265,48687,55372,2.0202952310120385e-4,1.8208583616898043e-4,2.0727281031905956e-4
guanosine,85278,99818,78662,3.1749145252049133e-4,3.7331205444400534e-4,2.944537637310891e-4
glycyl-proline,43621,56847,38215,1.624017290555167e-4,2.126036422186216e-4,1.4304938319625193e-4
glycyl-glycine,36486,28432,34183,1.358380020247033e-4,1.0633361049061252e-4,1.279564847781625e-4
glycolic acid,32609,26242,30592,1.2140386471587867e-4,9.814316989640734e-5,1.1451437212455159e-4
glycine,3689675,3536962,3113549,0.013736723129981284,0.013227980431489091,0.011654880648994033
glycerol-alpha-phosphate,161154,265522,94519,5.999790982373797e-4,9.930329531755914e-4,3.538109289631437e-4
glycerol-3-galactoside,116699,126041,75459,4.3447237291785473e-4,4.7138416572338536e-4,2.824640430879491e-4
glycerol,3758741,3289725,3185267,0.013993857029225874,0.012303332047384295,0.011923341087671745
glyceric acid,44621,40940,52171,1.66124746158644e-4,1.5311262005788113e-4,1.9529057623267457e-4
glutaric acid,11645,15200,8703,4.3354534165917606e-5,5.684689362188063e-5,3.257775171940287e-5
glutamine,11268426,9013370,4307961,0.04195254272332454,0.03370934773451646,0.016125897262423357
glutamate,5503767,4721971,4363435,0.020490618672627723,0.01765982783701351,0.01633355188713692
glucose-6-phosphate,35153,45484,32968,1.3087522022623457e-4,1.7010684930905386e-4,1.2340840154949714e-4
glucose,10241829,9655510,11864306,0.038130504534305346,0.0361109045944082,0.04441140011387128
gluconic acid lactone,105337,91342,75674,3.9217145259212217e-4,3.4161243139538294e-4,2.832688479391121e-4
gluconic acid,894747,104398,144184,0.003331158383971857,3.9044092107480885e-4,5.397208495817974e-4
galacturonic acid,53083,40610,42037,1.9762891688530736e-4,1.518784440779324e-4,1.5735619315506585e-4
galactose,219936,250616,242532,8.188254895934096e-4,9.372855981540287e-4,9.078647914523975e-4
galactinol,929,928,639,3.4586828888052774e-6,3.4706524527042913e-6,2.3919548832239954e-6
fumaric acid,41662,52918,47903,1.551083385504903e-4,1.9790946820280787e-4,1.7931426411749458e-4
fructose-6-phosphate,19817,19955,17658,7.377902993267404e-5,7.463024751477816e-5,6.609880958993631e-5
fructose-1-phosphate,6392,5850,5066,2.379752532318981e-5,2.187857419000011e-5,1.8963448260426853e-5
fructose,93836,131624,91138,3.493530328890549e-4,4.922641793477906e-4,3.4115490476880825e-4
ethanolamine,9514783,10197309,8873855,0.03542369984154504,0.03813719341792408,0.03321730954659103
erythritol,26672,28099,41198,9.930031217461179e-5,1.0508821472902789e-4,1.542155825963414e-4
ergosterol,50142,48625,36987,1.8667952358500994e-4,1.8185396068183855e-4,1.3845263734867905e-4
Dopamine,371748,190145,27289,0.0013840241620533737,7.11128459719243e-4,1.0215032364366135e-4
digalacturonic acid,4663,3321,1032,1.7360428751882677e-5,1.2420298270938526e-5,3.863063285582415e-6
dehydroabietic acid,1805,2067,1423,6.720045871144807e-6,7.730429547133374e-6,5.326685131185829e-6
cytidine,3002,3051,1524,1.1176497343588206e-5,1.1410517923707752e-5,5.704756247313566e-6
cystathionine,62616,75167,41575,2.3312043892942006e-4,2.8111910874183566e-4,1.5562679854465978e-4
citrulline,396791,393092,266416,0.0014772596793669911,0.0014701354676060726,9.972692522206635e-4
citric acid,85585,32237,34008,3.186344187711514e-4,1.2056403353214251e-4,1.2730141106209958e-4
cholesterol,81899,71486,28757,3.049113777290241e-4,2.673524366745894e-4,1.076454563018348e-4
chenodeoxycholic acid,585,1418,568,2.1779650053294803e-6,5.3032167865675485e-6,2.1261821184213292e-6
cerotinic acid,5984,5100,1763,2.2278534345113864e-5,1.907362878102574e-5,6.599399779536625e-6
cellobiose minor,1537,1812,1183,5.722277287506686e-6,6.776748108082086e-6,4.428298320585268e-6
caproic acid,26622,33222,27971,9.911416131945543e-5,1.2424786183592884e-4,1.0470323949711796e-4
capric acid,9573,10704,11756,3.56404427282378e-5,4.003218087688226e-5,4.400598060591751e-5
campesterol,83683,95271,85409,3.1155324024100326e-4,3.5630660541119673e-4,3.1970966294409735e-4
butylamine,171643,190128,157752,6.390298246320821e-4,7.110648809566395e-4,5.905096506077491e-4
biphenyl,5904,3097,5284,2.198069297686368e-5,1.158255457545818e-5,1.9779482946722366e-5
biopterin,10667,7674,4850,3.971342343905909e-5,2.8700201424625788e-5,1.8154900130886348e-5
beta-sitosterol,296095,274441,206824,0.001102366749150483,0.0010263893639791148,7.74199807148544e-4
beta-alanyl lysine,873705,892094,552668,0.003252818658087852,0.0033363666262314464,0.0020687901743374633
beta-alanine,1021013,1653594,421322,0.003801248861515331,0.006184321198143427,0.001577125532566041
Benzaldehyde-4-carboxylic acid,2370,2840,2524,8.823550534411741e-6,1.062139328198296e-5,9.448034624815906e-6
behenic acid,52656,61381,27281,1.96039188582272e-4,2.295604721976747e-4,1.0212037741664133e-4
azelaic acid,7877,11443,4938,2.9326205721333875e-5,4.2795987086525004e-5,1.8484308628106556e-5
aspartate,79413,78133,158934,2.9565595721064964e-4,2.922117328525263e-4,5.949342056499569e-4
asparagine,1490252,1295117,1426851,0.00554823368396969,0.004843643310979552,0.005341100496217591
arachidic acid,85878,98704,94297,3.1972526278236773e-4,3.6914577552987543e-4,3.5297992116333816e-4
arabitol,1446252,1590936,1096930,0.005384420931432089,0.005949984838896072,0.004106114350633642
arabinose,8774,2079,6735,3.266575206283908e-5,7.775308673676963e-6,2.521097987247826e-5
alpha-ketoglutarate,1085065,786484,1746770,0.004039715553004842,0.002941392913375735,0.0065386463714697625
alpha-aminoadipic acid,3152,2962,7089,1.1734949909057303e-5,1.1077664401842792e-5,2.653610041811409e-5
allantoin,17680,12608,137822,6.582294238329096e-5,4.71530022884652e-5,5.159061125441274e-4
allantoic acid,97724,86239,112145,3.6382812338601393e-4,3.2252758283272135e-4,4.1978995364499994e-4
alanine,16450507,14671062,25700851,0.06124551891611565,0.05486870400223785,0.09620543983170939
adipic acid,18548,14946,23990,6.905452122880547e-5,5.5896952110041315e-5,8.980124827628113e-5
adenosine-5-monophosphate,16315,16337,7058,6.0741024037522176e-5,6.109919086188579e-5,2.6420058788411515e-5
adenosine,23692,22908,29884,8.820572120729239e-5,8.567425257171327e-5,1.1186413103327993e-4
adenine,13270,11560,7616,4.94044369584995e-5,4.323355857032501e-5,2.850880812305782e-5
aconitic acid,505,399,389,1.880123637079295e-6,1.4922309575743667e-6,1.4561352888484102e-6
9-myristoleate,113759,65605,134893,4.2352670263466044e-4,2.453579247410184e-4,5.049420501764231e-4
6-methylcholecalciferol,1067,992,885,3.972459249036847e-6,3.7100077942701046e-6,3.312801364089571e-6
5-methyluridine,826,452,627,3.0752121271831635e-6,1.6904470998085556e-6,2.347035542693967e-6
5-aminovaleric acid,22920,8431,16561,8.53315520036781e-5,3.1531326324083925e-5,6.199243320981626e-5
4-hydroxybutyric acid,961,870,1425,3.5778194361053515e-6,3.2537366744102732e-6,5.334171687940834e-6
3-phosphoglycerate,14809,19250,126,5.513416028021243e-5,7.199359883034225e-5,4.716530755652948e-7
3-hydroxypropionic acid,118403,96027,70861,0.00044081639406158367,3.591339903834429e-4,2.652524491081933e-4
3-hydroxykynurenine,14853,33335,3619,5.529797303275004e-5,1.24670473610881e-4,1.3546924448180968e-5
3-hydroxy-3-methylglutaric acid,6228,4735,4325,2.318695051827693e-5,1.770855534865821e-5,1.6189678982697622e-5
"3-Aminopiperidine-2,6-dione",44629,60289,39220,1.6615453029546903e-4,2.25476471682208e-4,1.4681137796564178e-4
3-aminoisobutyric acid,2486,6708,1101,9.25542051837451e-6,2.5087431737866797e-5,4.121349493630076e-6
"3,6-anhydro-D-galactose",17509,25778,6417,6.518630645865619e-5,9.64078436700552e-5,2.4020617348432517e-5
"3,4-dihydroxyphenylacetic acid",26704,10319,13636,9.941944872191187e-5,3.8592308900275414e-5,5.1043343955621904e-5
2-picolinic acid,3429,2548,2896,1.276622564662357e-5,9.529334536088938e-6,1.0840534181246777e-5
2-monoolein,19934,11504,25936,7.421462293373993e-5,4.302412264645492e-5,9.708566799890068e-5
2-ketoisovaleric acid,55285,45426,55517,2.0582700054639372e-4,1.6988993353075986e-4,2.0781558568379741e-4
2-ketoisocaproic acid,164161,97755,103332,6.111742106664834e-4,3.6559658460571983e-4,3.868004413040718e-4
2-hydroxyglutaric acid,3928615,7765416,7954554,0.014626300836602523,0.029042090610634858,0.02977610999087475
2-Deoxyinosine,3339,3902,3224,1.2431154107342112e-5,1.4593195981090674e-5,1.2068329489067544e-5
2-amino-4-oxo-4-phenylbutanoic acid,1354,2193,478,5.040965157634387e-6,8.201660375841069e-6,1.7892870644461185e-6
"2,6-diaminopimelic acid",2669,2700,3674,9.936732648246808e-6,1.0097803472307745e-5,1.3752804758943597e-5
1-monopalmitin,2784,2422,3710,1.036487961510645e-5,9.058103707381243e-6,1.3887562780533681e-5
1-kestose,34103,2298,37559,1.2696605226795088e-4,8.59435273309748e-6,1.4059379258061038e-4
588382,115377,86590,171070,4.2955054430752045e-4,3.2384029728412135e-4,6.403626320393253e-4
588380,8907,10045,44107,3.316091333755501e-5,3.756756884419678e-5,1.651047793964957e-4
588375,35639,28124,19305,1.3268460653835445e-4,1.0518171290932704e-4,7.226398907768267e-5
588374,45206,42714,60084,1.683027111639735e-4,1.597472509319085e-4,2.249111380338506e-4
588356,3550,3024,1323,1.3216710716101975e-5,1.1309539888984674e-5,4.952357293435595e-6
562527,49709,45099,50439,1.8506745717935578e-4,1.6866697733244703e-4,1.8880721808284053e-4
554665,1606,1325,285,5.979165467622471e-6,4.955403555854727e-6,1.0668343375881668e-6
553510,18045,18335,14524,6.718184362593244e-5,6.857156543139351e-5,5.436737515484399e-5
553483,50863,60982,56093,1.8936381891636472e-4,2.2806824124010032e-4,2.0997171402923874e-4
553440,26622,33222,26685,9.911416131945543e-5,1.2424786183592884e-4,9.988938350364994e-5
553439,7797,17593,4333,2.9028364353083688e-5,6.579653944011487e-5,1.6219625209717638e-5
553386,171643,190128,157005,6.390298246320821e-4,7.110648809566395e-4,5.877134216597549e-4
553359,34174,38657,32318,1.2723038648227293e-4,1.4457436623296313e-4,1.2097527060412063e-4
553345,28023,32033,22091,1.043301082809368e-4,1.1980108838090147e-4,8.26927626374042e-5
553344,143000,145250,154509,5.323914457472063e-4,5.43224427538037e-4,5.78370198829509e-4
553268,13603,49370,41217,5.064420165384089e-5,1.8464020645475308e-4,1.5428670488551395e-4
553263,109325,108829,99092,4.070188447993939e-4,4.0701253855102945e-4,3.7092894098346186e-4
550987,11609,16738,8477,4.322050555020502e-5,6.259890167388409e-5,3.173177080608734e-5
545358,8526740,9040861,7675971,0.03174519885391982,0.033812162073500615,0.028733296270635013
545069,3497,928,10221,1.3019390809636228e-5,3.4706524527042913e-6,3.8260048296451416e-5
544748,8878917,8826730,4240691,0.03305635984824789,0.03301132771967516,0.015874086925968776
544707,1030,1082,1229,3.834707616221136e-6,4.046601243347029e-6,4.600489125950376e-6
544105,34368,35425,9989,1.2795265180027963e-4,1.3248692148388956e-4,3.739160771287087e-5
544078,4602,6316,2161,1.7133324708591914e-5,2.362138027077619e-5,8.089224573782557e-6
544032,1999,2394,1152,7.442311189151507e-6,8.9533857454462e-6,4.312256690882696e-6
541377,73889,71146,48255,2.750900107329743e-4,2.66080861422521e-4,1.8063189810637543e-4
540580,15780,15416,16236,5.874920988734906e-5,5.765471789966525e-5,6.0775867737127995e-5
539711,8674,8920,5727,3.2293450352526346e-5,3.336015073073522e-5,2.14377552679559e-5
539702,12141,15690,14064,4.520115064906876e-5,5.8679457955743895e-5,5.264546710119291e-5
539604,1344,4579,2778,5.003734986603114e-6,1.712512670359154e-5,1.03988273327015e-5
534660,2705,3059,1335,1.0070761263959392e-5,1.1440437341403478e-5,4.997276633965624e-6
524550,3215,1897,493,1.1969499986554324e-5,7.094641921099182e-6,1.8454362401086537e-6
521677,44386,38148,11155,1.6524983713940908e-4,1.4267074328207254e-4,4.17562703010386e-5
521666,2155,3725,193,8.023101857239368e-6,1.3931228864572722e-5,7.224527268579516e-7
520868,154075,55090,146323,5.736238601643413e-4,2.0603259010719765e-4,5.477277220312749e-4
520865,5252,8428,5788,1.9553285825624668e-5,3.1520106542448024e-5,2.1666095248983545e-5
520862,2223,3056,2955,8.276267020252025e-6,1.142921755976758e-5,1.1061387605519415e-5
520631,133426,91207,190119,4.967472800018654e-4,3.411075412217676e-4,7.116683418523674e-4
519942,651,866,460,2.423684134135883e-6,3.23877696556241e-6,1.7219080536510764e-6
519090,118734,13168,115155,4.4204871272271885e-4,4.9247361527166065e-5,4.3105722156128195e-4
517908,12496,14336,8872,4.6522821720678954e-5,5.3615596510742156e-5,3.321036576520076e-5
517902,26628,3202,6206,9.913649942207419e-5,1.1975246932714591e-5,2.323078561077952e-5
514161,407,721,505,1.515267960972818e-6,2.6964875198273645e-6,1.8903555806386816e-6
513579,2901,7872,436,1.0800472616172347e-5,2.9440707012595024e-5,1.6320693725910203e-6
511804,409,380,324,1.5227139951790726e-6,1.4211723405470159e-6,1.212822194310758e-6
511719,23843,30617,23215,8.876789678986462e-5,1.1450535144875786e-4,8.690020753371683e-5
509844,103883,74356,120078,3.8675818572417504e-4,2.7808602777293134e-4,4.4948538101372595e-4
488159,662,312,397,2.4646373222702837e-6,1.1668572901333394e-6,1.486081515868429e-6
486463,9957,125,6077,3.7070081295838695e-5,4.674909014957289e-7,2.274790270008172e-5
476084,1444,1212,1697,5.376036696915846e-6,4.532791780902588e-6,6.352343406621471e-6
474821,6010,14298,2589,2.2375332789795173e-5,5.347347927668746e-5,9.691347719353557e-6
474672,332089,110596,1453206,0.0012363730267604476,4.136209899345731e-4,0.005439754597856666
474251,10789,2857,9546,4.0167631525640623e-5,1.068497204458638e-5,3.573333539163734e-5
474221,34927,41494,24053,1.300338183609278e-4,1.551845397333102e-4,9.003707481406378e-5
474043,8872,31616,8111,3.3030607738945554e-5,1.1824153873351172e-4,3.036173091992148e-5
425777,831,885,698,3.0938272126988004e-6,3.309835582589761e-6,2.612808307496633e-6
425770,21220,23165,15529,7.900242292836166e-5,8.663541386518848e-5,5.8129369924233835e-5
425127,4930,3012,4121,1.8354474318417673e-5,1.1264660762441084e-5,1.5426050193687142e-5
422265,877728,667589,778705,0.0032677963558937336,0.0024967342675090575,0.0029149095889529596
421543,2145,3756,1449,7.985871686208094e-6,1.4047166608143663e-5,5.424010369000891e-6
417901,13761,18670,13052,5.123243835613501e-5,6.982444104740207e-5,4.8857269383160543e-5
417820,3616,4591,4982,1.3462429844908378e-5,1.717000583013513e-5,1.8649012876716658e-5
417688,9553,8115,5102,3.556598238617526e-5,3.034950932510272e-5,1.909820628201694e-5
412153,2900,4688,3291,1.0796749599069219e-5,1.7532778769695816e-5,1.2319129140360201e-5
407336,46542,55932,47015,1.7327666201375158e-4,2.091816088196729e-4,1.759902329182725e-4
406926,3469,3141,1223,1.2915146330748661e-5,1.1747111372784677e-5,4.578029455685362e-6
406851,185180,245101,172739,6.894283071571165e-4,9.166598995800372e-4,6.466101636513767e-4
406846,284940,206483,418544,0.0010608364933650976,7.722313905083408e-4,0.0015667267052333394
405282,7636,6839,7708,2.8428958599480193e-5,2.557736220263432e-5,2.8853189733788037e-5
404192,15989,14187,20542,5.952732046190267e-5,5.305834735615925e-5,7.689442443065307e-5
404164,77814,102270,101406,2.8970285286274904e-4,3.824823559677456e-4,3.795908871490023e-4
404049,22771,19645,21167,8.477682245531214e-5,7.347087007906876e-5,7.923397341659203e-5
