BinBase name,L1_PF_907,L2_PF_907,L3_PF_907,normL1_PF_907,normL2_PF_907,normL3_PF_907
ergosterol,47622,52827,30579,1.6624012610204773e-4,2.0356162598662622e-4,1.2135504233058257e-4
Dopamine,107362,147686,132817,3.7478208430070237e-4,5.690878205361062e-4,5.270941710723367e-4
digalacturonic acid,18317,26633,13581,6.394146381527883e-5,1.0262662624986875e-4,5.3897211481462505e-5
dehydroabietic acid,1731,2447,2154,6.042620181484285e-6,9.429180131169182e-6,8.54830966284296e-6
cytidine,1390,2614,2497,4.852248441515399e-6,1.0072691811555473e-5,9.909530746573292e-6
cystathionine,80039,81737,74582,2.794022395758641e-4,3.1496236059721106e-4,2.9598422993229044e-4
citrulline,367466,517441,402835,0.0012827599466258258,0.001993888188088399,0.0015986807442113944
citric acid,77410,47217,35614,2.702248574515878e-4,1.8194425756167359e-4,1.4133681538184268e-4
cholesterol,100960,56024,55774,3.524338148599962e-4,2.1588082863450032e-4,2.213432790786459e-4
chenodeoxycholic acid,1546,1488,1531,5.3968173313545375e-6,5.733804673142519e-6,6.075887694434806e-6
cerotinic acid,1426,1808,2105,4.977918185324431e-6,6.966880946936609e-6,8.353849508024341e-6
cellobiose minor,5487,5858,7151,1.9154163452226614e-5,2.257300253714306e-5,2.8379276879753947e-5
caproic acid,38158,27008,26015,1.3320294678514e-4,1.040716375082212e-4,1.0324246791033407e-4
capric acid,11327,8562,9350,3.954058855902513e-5,3.299249705070312e-5,3.710617239906299e-5
campesterol,189437,158487,149096,6.612916460542106e-4,6.107079981400123e-4,5.916985967925877e-4
butylamine,258058,128905,173692,9.0083563188531e-4,4.967178033544599e-4,6.89309657362358e-4
biphenyl,6225,6030,6423,2.173039320031177e-5,2.3235781034307386e-5,2.549015457959161e-5
biopterin,23209,21860,23842,8.10185856684395e-5,8.423452295355877e-5,9.461875533031654e-5
beta-sitosterol,470568,345637,456245,0.0016426711112424593,0.0013318649501417746,0.001810642312963689
