BinBase name,L1_SF_748,L2_SF_748,L3_SF_748,normL1_SF_748,normL2_SF_748,normL3_SF_748
malonamide,1959,1130,1408,8.102342805450465e-6,4.662403164413463e-6,5.516269698778334e-6
malic acid,310627,288624,443530,0.0012847403974623082,0.001190868540642187,0.001737664133167013
maleimide,155786,189800,167476,6.443244391474764e-4,7.831186908014825e-4,6.561383409606536e-4
lysine,1947250,2507616,2455201,0.008053745292451975,0.010346475020826399,0.009618999205049904
loganin,74161,65120,82116,3.0672682225370697e-4,2.6868645492619884e-4,3.217144904722171e-4
linolenic acid,30945,20882,27352,1.279872374245353e-4,8.6159560070161e-5,1.0715980738706321e-4
linoleic acid,88667,65844,87431,3.6672303702443924e-4,2.7167369376782303e-4,3.4253762502406854e-4
lignoceric acid,4843,3187,4073,2.003044727248423e-5,1.3149627331845758e-5,1.5957220513582495e-5
leucrose,18939,15326,19600,7.833091903646063e-5,6.323539017504489e-5,7.678898160231203e-5
leucine,14182106,16062480,11679023,0.05865660261114644,0.06627412175250262,0.04575613685101934
L-DOPA,3263476,2806816,5054917,0.013497601474915908,0.011580980354271094,0.019804180026235425
lauric acid,388574,469854,567325,0.0016071259587979118,0.0019386272357631179,0.002222668825894473
lactulose,69639,40417,75117,2.8802401767675595e-4,1.6676137052752118e-4,2.942937719908609e-4
lactose,110264,67355,114356,4.560473338949414e-4,2.779081107425387e-4,4.4802452959765283e-4
lactobionic acid,7387,15238,44960,3.055232583147656e-5,6.287230037109057e-5,1.761445210632627e-4
lactitol,974209,758299,900017,0.004029288046020976,0.0031287572187358977,0.003526091268100412
lactic acid,1067268,969084,583375,0.004414176213010468,0.0039984604497189874,0.002285549599094326
kynurenine,21870,13877,15001,9.045341355548835e-5,5.725678647129701e-5,5.877099556205525e-5
kynurenic acid,5995,4007,5513,2.4795071525612834e-5,1.6532964141420127e-5,2.1598859978242154e-5
ketoisoleucine,72996,68318,93170,3.019084305393886e-4,2.818814684835389e-4,3.6502190897384757e-4
isoxanthopterin,3472,1954,3765,1.4360048096234823e-5,8.062244055985758e-6,1.4750536516974735e-5
isothreonic acid,29349,25457,27762,1.2138624757384671e-4,1.050361038552863e-4,1.0876610751241769e-4
isomaltotriose,4720,3185,3576,1.9521724370457478e-5,1.3141375290846795e-5,1.4010071337238156e-5
isomaltose,6192,5404,7083,2.560985536056625e-5,2.2297014779195002e-5,2.77498141167947e-5
isoleucine,10142744,12406406,12491167,0.04194996879832868,0.051189085480883335,0.04893795882420445
isoheptadecanoic acid,4717,2302,5148,1.9509316494798288e-5,9.498099189805125e-6,2.0168861086158283e-5
isogluconic acid,1271883,1110472,1129272,0.005260455372345459,0.0045818302360995985,0.004424267695510516
inulotriose,205,32182,117,8.478715033779201e-7,1.3278359171429562e-4,4.5838320650359734e-7
inosine-5-monophosphate,8481,3102,7072,3.507706448852751e-5,1.2798915589389877e-5,2.7706718259772997e-5
inosine,2494897,1297638,2864448,0.01031879058616128,0.005354080988905449,0.011222349223100996
indole-3-acetate,7379,5957,5192,3.051923816305206e-5,2.457870411540796e-5,2.0341244514245105e-5
hypoxanthine,704980,482993,764783,0.0029157680607383714,0.001992839019105798,0.0029962708018755613
hypotaurine,17214,11283,18753,7.119639053242691e-5,4.655388929564345e-5,7.347060061164069e-5
homoserine,25503,24934,33114,1.0547935097876633e-4,1.0287819513405777e-4,1.2973420085606944e-4
histidine,6750232,8137527,9440571,0.027918679775559726,0.03357560321707964,0.03698631800175105
heptanoic acid,7552,8880,9886,3.1234758992731965e-5,3.663906203539075e-5,3.873142204696208e-5
heptadecanoic acid,28831,24922,29584,1.1924382104336006e-4,1.02828682888064e-4,1.1590434855728568e-4
guanosine,196985,224028,261894,8.147217955751199e-4,9.243441204577161e-4,0.001026049670803873
glycyl-proline,39569,42501,39728,1.6365574398615083e-4,1.7535999724843944e-4,1.5564656434166593e-4
glycyl-glycine,22396,19510,24172,9.26289277543995e-5,8.049865994487315e-5,9.470118690260646e-5
glycolic acid,20615,21385,22627,8.526278557139426e-5,8.823494838139991e-5,8.86481778936487e-5
glycine,3252689,3139096,3042844,0.013452986890004017,0.012951974445838623,0.01192126999666865
glycerol-alpha-phosphate,149156,142720,200161,6.169030339406686e-4,5.888656456859198e-4,7.841918033928765e-4
glycerol-3-galactoside,81734,66723,79558,3.3804843637605327e-4,2.753004657868668e-4,3.116927448120786e-4
glycerol,2257498,2097907,2216624,0.009336918161622671,0.008656007288004561,0.008684300997716495
glyceric acid,80638,79276,98630,3.335154258018962e-4,3.2709440111685105e-4,3.8641312527734877e-4
