BinBase name,L1_SAC_440,L2_SAC_440,L3_SAC_440,normL1_SAC_440,normL2_SAC_440,normL3_SAC_440
thymine,6261,935,9536,2.4913648006754166e-5,3.955276692332817e-6,3.903879734303648e-5
threonine,1506321,1654110,1904778,0.00599392288439258,0.006997286341769664,0.007797844203594206
terephthalic acid,6003,3141,3748,2.3887019483236744e-5,1.3287191540767249e-5,1.5343688385245462e-5
tagatose,1809,7604,4756,7.198337205593082e-6,3.216676360267245e-5,1.9470272668150328e-5
sucrose,6922,7579,6743,2.7543886200727094e-5,3.206100754138013e-5,2.760472005915426e-5
succinic acid,189367,147817,230785,7.535254403601687e-4,6.253017484818824e-4,9.44795390605356e-4
stigmasterol,160,104,169,6.366688517937497e-7,4.3994521497605663e-7,6.918578807648034e-7
stearic acid,1347972,1089034,1333411,0.005363823659313277,0.004606877858136874,0.005458762773067913
squalene,5337,3048,3487,2.123688538764526e-5,1.2893778992759812e-5,1.4275197811993312e-5
spermidine,32233,24101,40394,1.2826091937417458e-4,1.0195307332824943e-4,1.6536631500363e-4
sorbitol,3053712,3090949,475986,0.012151270704679968,0.01307546367581757,0.0019486074865900339
sophorose,91781,40588,69258,3.6521314929051336e-4,1.7169708062930947e-4,2.835307284379216e-4
shikimic acid,56361,13034,34951,2.2427058222467203e-4,5.5136980115364637e-005,1.4308357864266654e-4
serine,11303707,10968561,12778172,0.044979488479393565,0.0463996723761826,0.052311710058983135
salicyl alcohol,1252,904,834,4.9819337652860905e-6,3.824139176330338e-6,3.414257234070095e-6
saccharic acid,15833,7290,7894,6.300236206531523e-5,3.083846747284089e-5,3.2316722548860106e-5
ribulose-5-phosphate,9428,2919,1254,3.75157120919467e-5,1.2348077716491435e-5,5.133667351947121e-6
ribose-5-phosphate,2092,829,2572,8.324445237203277e-6,3.5068709924533744e-6,1.0529340055189789e-5
ribonic acid,82022,132392,70064,3.2638032851141835e-4,5.600502586645201e-4,2.8683035833079994e-4
ribitol,1248750,1379136,616337,0.00496900142923403,0.005834079653857873,0.0025231811281475544
quinic acid,6947,16519,4322,2.7643365708819865e-5,6.987937505951422e-5,1.7693548879677398e-5
pyrophosphate,340534,181069,226955,0.0013550461923545797,7.65965770485573e-4,9.291160078637631e-4
putrescine,100398,90030,94758,3.9950174613993046e-4,3.8084872792590747e-4,3.879234855947411e-4
pseudo-uridine,75562,45225,61674,3.006748236202457e-4,1.9131271487780923e-4,2.5248309430939934e-4
prunin,21472,13649,20773,8.54409599107212e-5,5.7738579223155735e-5,8.504120566347493e-5
propyleneglycol,226823,79224,97632,9.025696185650854e-4,3.351367279929145e-4,3.9968916340135674e-4
proline,1378565,845114,1793903,0.005485558722956565,0.003575037119319953,0.007343940401642741
pipecolinic acid,3477,3708,3019,1.3835609985542922e-5,1.5685739010877097e-5,1.2359283680644625e-5
phthalic acid,230581,140278,124502,9.175233782215911e-4,5.934099506385699e-4,5.096904726093465e-4
phosphoinositol,31349,40860,31660,1.247433239680141e-4,1.7284770657616995e-4,1.2961077221901584e-4
phosphoethanolamine,692041,520317,549045,0.0027537559304012392,0.00220106706173747,0.0022476988765947428
phosphate,2710520,1671284,1935839,0.010785647851024965,0.007069936525635037,0.00792500276947844
phenylalanine,6623420,7749092,7977097,0.02635578253967348,0.03278053794047347,0.03265690784068208
phenylacetic acid,4453,4165,3647,1.7719289981484796e-5,1.761895981130073e-5,1.4930211190232178e-5
pentadecanoic acid,646583,518281,486184,0.0025728703512459877,0.002192454288105823,0.0019903564017855336
